,page_url,bedrooms,baths,garage,date,price,location,property,area_marla,area_sqft
74,https://www.graana.com/property/islamabad-f-6-2-14-marla-lower-portion-for-rent-274662,3,3,1,April 5 2022,288000,F-6/2 ,Lower Portion ,14.0,3810.8
75,https://www.graana.com/property/islamabad-f-6-3-18-marla-lower-portion-for-rent-283558,3,3,1,April 5 2022,278000,F-6/3 ,Lower Portion ,18.0,4899.599999999999
76,https://www.graana.com/property/islamabad-f-6-14-marla-lower-portion-for-rent-274684,3,3,1,April 5 2022,276000,F-6 ,Lower Portion ,14.0,3810.8
77,https://www.graana.com/property/islamabad-f-6-18-marla-upper-portion-for-rent-475605,2,2,0,April 5 2022,130000,F-6 ,Upper Portion ,18.0,4899.599999999999
78,https://www.graana.com/property/islamabad-f-6-1-kanal-upper-portion-for-rent-283861,2,2,1,April 5 2022,120000,F-6 ,Upper Portion ,20.0,5444.0
79,https://www.graana.com/property/islamabad-f-6-500-sqyd-upper-portion-for-rent-329769,3,3,2,April 5 2022,180000,F-6 ,Yd. Upper Portion ,1.836540545305619,499.9063364321895
80,https://www.graana.com/property/islamabad-f-6-4-2-kanal-upper-portion-for-rent-379034,3,3,5,April 5 2022,165000,F-6/4 ,Upper Portion ,40.0,10888.0
81,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283510,3,4,1,April 5 2022,298000,F-6/1 ,Upper Portion ,18.0,4899.599999999999
82,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283619,3,4,2,April 5 2022,298000,F-6/1 ,Upper Portion ,18.0,4899.599999999999
83,https://www.graana.com/property/islamabad-f-6-14-marla-upper-portion-for-rent-283608,3,3,1,April 5 2022,290000,F-6 ,Upper Portion ,14.0,3810.8
84,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283503,3,3,1,April 5 2022,290000,F-6/1 ,Upper Portion ,18.0,4899.599999999999
85,https://www.graana.com/property/islamabad-f-6-4-1-kanal-upper-portion-for-rent-283560,3,4,1,April 5 2022,314000,F-6/4 ,Upper Portion ,20.0,5444.0
86,https://www.graana.com/property/islamabad-f-6-1-1-kanal-upper-portion-for-rent-283572,3,4,0,April 5 2022,310000,F-6/1 ,Upper Portion ,20.0,5444.0
87,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283513,3,4,0,April 5 2022,295000,F-6/1 ,Upper Portion ,18.0,4899.599999999999
88,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-274669,3,3,1,April 5 2022,284000,F-6/1 ,Upper Portion ,18.0,4899.599999999999
89,https://www.graana.com/property/islamabad-f-6-18-marla-upper-portion-for-rent-283549,3,3,1,April 5 2022,284000,F-6 ,Upper Portion ,18.0,4899.599999999999
90,https://www.graana.com/property/islamabad-f-6-3-500-sqyd-house-for-rent-604957,4,5,4,April 8 2022,500000,F-6/3 ,House ,1.836540545305619,499.9063364321895
91,https://www.graana.com/property/islamabad-f-8-3-1000-sqyd-house-for-rent-604842,4,5,7,April 8 2022,525000,F-8/3 ,House ,3.673081090611238,999.8126728643788
92,https://www.graana.com/property/islamabad-g-5-1500-sqft-apartment-for-rent-604877,1,1,1,April 8 2022,120000,G-5 ,Apartment ,5.509621635916857,1499.7190092965684
93,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-604185,3,3,1,April 7 2022,150000,DHA Phase 2 ,House ,20.0,5444.0
94,https://www.graana.com/property/islamabad-f-8-3-666-sqyd-house-for-rent-604407,6,7,5,April 7 2022,700000,F-8/3 ,House ,2.446272006347084,665.8752401276763
