Price,total_area,url,beds,baths,garage,location,date
PKR 1.3 lac,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-10-marla-house-for-rent-606283,6,7,2,G-13/1 Islamabad,April 11 2022
PKR 38000,4 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-lower-portion-for-rent-606137,3,2,1,G-13/1 Islamabad,April 11 2022
PKR 80000,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-10-marla-upper-portion-for-rent-606281,3,4,1,G-13/1 Islamabad,April 11 2022
PKR 1.5 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-605091,5,5,2,DHA Phase 2 Islamabad,April 8 2022
PKR 50000,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-2-10-marla-upper-portion-for-rent-605156,3,3,0,Bahria Town Phase 2 Islamabad,April 8 2022
PKR 35000,500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-6-500-sqft-apartment-for-rent-487501,1,1,1,Bahria Town Phase 6 Islamabad,April 8 2022
PKR 40000,814 Sqft Furnished Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-1-814-sqft-apartment-for-rent-487419,1,2,1,Bahria Town Phase 1 Islamabad,April 8 2022
PKR 1.2 lac,1 Kanal Upper portion for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-1-1-kanal-upper-portion-for-rent-486926,3,3,2,Bahria Town Phase 1 Islamabad,April 8 2022
PKR 1.8 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-3-1-kanal-house-for-rent-486937,6,6,2,Bahria Town Phase 3 Islamabad,April 8 2022
PKR 90000,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-5-10-marla-upper-portion-for-rent-486929,3,3,1,Bahria Town Phase 5 Islamabad,April 8 2022
PKR 90000,6 Marla Apartment for Rent,https://www.graana.com/property/islamabad-f-7-6-marla-apartment-for-rent-604326,1,1,1,F-7 Islamabad,April 8 2022
PKR 70000,5 Marla Apartment for Rent,https://www.graana.com/property/islamabad-f-6-5-marla-apartment-for-rent-604334,1,1,1,F-6 Islamabad,April 8 2022
PKR 70000,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-islamabad-1-kanal-upper-portion-for-rent-604955,3,3,0,DHA Islamabad Islamabad,April 7 2022
PKR 90000,1170 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1170-sqft-apartment-for-rent-604003,2,2,1,F-11 Islamabad,April 6 2022
PKR 45000,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-10-marla-upper-portion-for-rent-603791,3,3,0,DHA Phase 2 Islamabad,April 6 2022
PKR 80000,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-15-1-7-marla-house-for-rent-603947,4,4,1,G-15/1 Islamabad,April 6 2022
PKR 1.1 lac,10 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-1-10-marla-house-for-rent-528186,4,4,2,Bahria Town Phase 1 Islamabad,April 6 2022
PKR 55000,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-e-11-10-marla-upper-portion-for-rent-488071,2,2,1,E-11 Islamabad,April 6 2022
PKR 1.2 lac,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-2-1-kanal-lower-portion-for-rent-490233,3,3,1,E-11/2 Islamabad,April 6 2022
PKR 80000,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-1-kanal-lower-portion-for-rent-492501,3,3,1,E-11 Islamabad,April 6 2022
PKR 70000,1950 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1950-sqft-apartment-for-rent-447397,3,3,1,E-11/4 Islamabad,April 6 2022
PKR 45000,1700 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1700-sqft-apartment-for-rent-488290,3,3,1,E-11 Islamabad,April 6 2022
PKR 36000,1150 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1150-sqft-apartment-for-rent-492792,2,2,1,E-11 Islamabad,April 6 2022
PKR 85000,2400 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2400-sqft-apartment-for-rent-492663,4,4,1,E-11 Islamabad,April 6 2022
PKR 40000,700 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-700-sqft-apartment-for-rent-493844,1,1,1,E-11 Islamabad,April 6 2022
PKR 48000,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-upper-portion-for-rent-605244,2,3,1,G-13/2 Islamabad,April 8 2022
PKR 45000,5 Marla House for Rent,https://www.graana.com/property/islamabad-national-police-foundation-5-marla-house-for-rent-605195,4,4,1,National Police Foundation Islamabad,April 8 2022
PKR 4.3 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-2-1-kanal-house-for-rent-604440,4,4,3,F-6/2 Islamabad,April 8 2022
PKR 50000,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-upper-portion-for-rent-605242,2,3,1,G-13/2 Islamabad,April 8 2022
PKR 2.7 lac,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-lower-portion-for-rent-604546,3,3,1,F-6/1 Islamabad,April 8 2022
