,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
8741,https://www.zameen.com/Property/i_10_i_10_1_2nd_floor_for_rent_in_i_10_for_rent-16405063-3420-4.html,Upper Portion,18000,I-10,Islamabad,"I-10, Islamabad, Islamabad Capital",2,6 Marla,6.0,1633.51,2
8742,https://www.zameen.com/Property/islamabad_margalla_town_upper_portion_is_available_for_rent-16411393-1028-4.html,Upper Portion,36000,Margalla Town,Islamabad,"Margalla Town, Islamabad, Islamabad Capital",2,6 Marla,6.0,1633.51,2
8743,https://www.zameen.com/Property/islamabad_f_7_semi_furnished_portion_is_available_for_rent-16411658-165-4.html,Upper Portion,85000,F-7,Islamabad,"F-7, Islamabad, Islamabad Capital",0,1 Kanal,20.0,5445.02,3
8744,https://www.zameen.com/Property/islamabad_bahria_town_brand_new_luxury_portion_for_rent-16412772-383-4.html,Upper Portion,35000,Bahria Town,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",3,10 Marla,10.0,2722.51,3
8745,https://www.zameen.com/Property/i_10_i_10_4_portion_is_available_for_rent-16415717-3423-4.html,Upper Portion,33000,I-10,Islamabad,"I-10, Islamabad, Islamabad Capital",2,6.7 Marla,6.7,1824.08,2
8746,https://www.zameen.com/Property/islamabad_chatha_bakhtawar_royal_avenue_2_bed_1st_floor_for_rent_comsat_university-16417531-3153-4.html,Upper Portion,20000,Chatha Bakhtawar,Islamabad,"Chatha Bakhtawar, Islamabad, Islamabad Capital",2,5 Marla,5.0,1361.25,2
8747,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_sector_c1_the_best_portion_for_living_purpose-16419797-11987-4.html,Upper Portion,45000,Bahria Town,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",2,10 Marla,10.0,2722.51,2
8748,https://www.zameen.com/Property/islamabad_g_10_g_10_on_main_location_three_bed_portion_for_rent-16428845-167-4.html,Upper Portion,80000,G-10,Islamabad,"G-10, Islamabad, Islamabad Capital",3,1 Kanal,20.0,5445.02,3
8749,https://www.zameen.com/Property/islamabad_f_11_f_11_near_main_rd_two_bed_new_portion_for_rent-16429289-163-4.html,Upper Portion,57000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",2,9.3 Marla,9.3,2531.93,2
8750,https://www.zameen.com/Property/f_7_f_7_2_5_beds_renovated_beautiful_portion_in_f_7-16431891-3308-4.html,Upper Portion,100000,F-7,Islamabad,"F-7, Islamabad, Islamabad Capital",5,1 Kanal,20.0,5445.02,5
