,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
24083,https://www.zameen.com/Property/islamabad_soan_garden_well_built_flat_available_on_good_location-16981580-338-4.html,Flat,20000,Soan Garden,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",2,3.8 Marla,3.8,1034.55,2
24084,https://www.zameen.com/Property/g_11_g_11_4_2_bed_2_bath__one_kitchen_beautifully_view_flat_for_rent-16981967-3333-4.html,Flat,25000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,5.3 Marla,5.3,1442.93,2
24091,https://www.zameen.com/Property/e_11_e_11_2_1_bedroom_flat_is_available_for_rent-16983308-3233-4.html,Flat,25500,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",1,2.7 Marla,2.7,735.08,1
24133,https://www.zameen.com/Property/islamabad_e_11_e_11_1_bed_apartment_for_rent-16983959-329-4.html,Flat,21000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",1,1.8 Marla,1.8,490.05,1
24136,https://www.zameen.com/Property/islamabad_e_11_e_11_2_bed_apartment_for_rent-16984086-329-4.html,Flat,26000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,2.7 Marla,2.7,735.08,2
24146,https://www.zameen.com/Property/dha_defence_phase_2_defence_executive_apartments_two_bedroom_apartment_for_rent-16986308-9615-4.html,Flat,25000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,6.8 Marla,6.8,1851.31,0
24147,https://www.zameen.com/Property/e_11_e_11_2_3_bedroom_flat_is_up_for_sale_on_main_road_-16986830-3233-1.html,Flat,8600000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,4 Marla,4.0,1089.0,3
24148,https://www.zameen.com/Property/islamabad_f_11_islamabad_f11_fully_furnish_flat_available_for_sale-16987562-163-1.html,Flat,26000000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,11.6 Marla,11.6,3158.11,3
24158,https://www.zameen.com/Property/gulberg_gulberg_residencia_islamabad-16988833-8319-1.html,Flat,9600000,Gulberg,Islamabad,"Gulberg, Islamabad, Islamabad Capital",2,5.1 Marla,5.1,1388.48,2
24170,https://www.zameen.com/Property/g_15_zarkon_heights_1_bed_apartment-16989991-10169-1.html,Flat,735000,G-15,Islamabad,"G-15, Islamabad, Islamabad Capital",1,2.8 Marla,2.8,762.3,1
