,Price,House_location,baths,beds,total_sqft,kitchens,tv_lounge,store
21,5800000,Adiala Road,4,4,1361,2,2,1
23,6000000,Adiala Road,3,3,1361,2,2,1
27,12000000,Adiala Road,5,5,2722,2,2,1
29,6000000,Adiala Road,5,4,1633,2,2,1
31,6000000,Adiala Road,3,3,1633,2,2,1
41,3800000,Adiala Road,2,2,952,1,1,0
42,2600000,Adiala Road,2,2,680,1,1,0
44,7500000,Adiala Road,5,4,1633,2,2,1
45,6800000,Adiala Road,3,3,1824,2,2,1
46,27500000,Adiala Road,7,8,5445,2,2,1
47,12000000,Adiala Road,5,5,2722,2,2,1
50,6000000,Adiala Road,4,4,1361,2,2,1
54,6500000,Adiala Road,4,4,1361,2,2,1
55,4500000,Adiala Road,2,2,1089,1,2,0
59,7200000,Adiala Road,4,4,1361,2,2,1
63,14500000,Adiala Road,6,6,2722,2,2,1
66,6000000,Adiala Road,6,5,1361,2,2,1
67,12000000,Adiala Road,6,8,2722,2,2,1
73,5000000,Adiala Road,2,4,1089,1,2,0
79,3300000,Adiala Road,2,2,816,1,1,0
81,5000000,Adiala Road,3,2,1089,1,2,0
86,5200000,Adiala Road,3,2,1361,2,2,1
88,12500000,Adiala Road,5,5,2722,2,2,1
89,14000000,Adiala Road,6,6,2994,2,2,1
90,5200000,Adiala Road,2,3,1225,1,2,0
91,4300000,Adiala Road,2,2,1089,1,2,0
96,10500000,Adiala Road,3,4,2722,2,2,1
103,6500000,Adiala Road,4,4,1361,2,2,1
104,5000000,Adiala Road,3,2,1306,1,2,0
106,5900000,Adiala Road,3,3,1361,2,2,1
108,2800000,Adiala Road,2,2,680,1,1,0
109,7000000,Adiala Road,4,4,1905,2,2,1
110,6500000,Adiala Road,4,4,1361,2,2,1
111,6500000,Adiala Road,4,4,1361,2,2,1
114,6800000,Adiala Road,4,4,1361,2,2,1
115,4800000,Adiala Road,2,2,1143,1,2,0
116,5500000,Adiala Road,2,3,1361,2,2,1
121,5500000,Adiala Road,2,2,1361,2,2,1
129,4500000,Adiala Road,2,2,1089,1,2,0
130,5800000,Adiala Road,5,4,1361,2,2,1
132,6800000,Adiala Road,4,4,1361,2,2,1
133,12000000,Adiala Road,5,5,2314,2,2,1
137,5200000,Adiala Road,5,6,1089,1,2,0
140,5200000,Adiala Road,5,6,1089,1,2,0
143,9500000,Adiala Road,5,5,1905,2,2,1
145,3800000,Adiala Road,4,4,816,1,1,0
146,4800000,Adiala Road,3,2,1225,1,2,0
148,3400000,Adiala Road,2,2,816,1,1,0
150,4500000,Adiala Road,2,2,1143,1,2,0
153,6000000,Adiala Road,3,2,1361,2,2,1
154,7500000,Adiala Road,4,4,1905,2,2,1
155,5500000,Adiala Road,2,2,1089,1,2,0
161,5500000,Adiala Road,5,5,1089,1,2,0
162,6500000,Adiala Road,3,3,1361,2,2,1
163,2800000,Adiala Road,2,2,680,1,1,0
166,2650000,Adiala Road,2,2,680,1,1,0
169,9500000,Adiala Road,6,6,1905,2,2,1
171,25500000,Adiala Road,5,6,5445,2,2,1
176,25500000,Adiala Road,6,5,5445,2,2,1
178,5800000,Adiala Road,3,3,1361,2,2,1
181,3600000,Adiala Road,2,2,871,1,1,0
185,25500000,Adiala Road,6,6,5445,2,2,1
186,7000000,Adiala Road,6,5,1633,2,2,1
187,3400000,Adiala Road,2,2,816,1,1,0
188,3250000,Adiala Road,2,2,816,1,1,0
190,5000000,Adiala Road,3,3,1361,2,2,1
191,6700000,Adiala Road,5,6,1361,2,2,1
193,6000000,Adiala Road,4,4,1225,1,2,0
195,7800000,Adiala Road,3,3,1905,2,2,1
196,6000000,Adiala Road,5,5,1361,2,2,1
197,3000000,Adiala Road,2,2,735,1,1,0
200,7000000,Adiala Road,4,4,1361,2,2,1
201,5500000,Adiala Road,3,3,1361,2,2,1
203,5500000,Adiala Road,3,2,1361,2,2,1
209,5300000,Adiala Road,2,2,1361,2,2,1
211,6800000,Adiala Road,5,5,1361,2,2,1
215,7200000,Adiala Road,4,4,1524,2,2,1
217,28000000,Adiala Road,6,6,5445,2,2,1
223,4000000,Adiala Road,2,2,816,1,1,0
225,20000000,Adiala Road,4,8,5445,2,2,1
227,6300000,Adiala Road,2,2,1633,2,2,1
229,6500000,Adiala Road,4,4,1361,2,2,1
230,9500000,Adiala Road,6,6,1905,2,2,1
232,6500000,Adiala Road,4,4,1361,2,2,1
235,6500000,Adiala Road,4,4,1361,2,2,1
236,5500000,Adiala Road,5,5,1089,1,2,0
237,12500000,Adiala Road,6,6,2722,2,2,1
241,10000000,Adiala Road,3,3,2178,2,2,1
245,13500000,Adiala Road,6,5,2722,2,2,1
246,5200000,Adiala Road,2,2,1361,2,2,1
247,8600000,Adiala Road,4,4,1633,2,2,1
248,6500000,Adiala Road,2,2,1633,2,2,1
249,6600000,Adiala Road,2,2,1361,2,2,1
253,5800000,Adiala Road,2,2,1361,2,2,1
255,4000000,Adiala Road,3,2,871,1,1,0
265,25000000,Adiala Road,7,7,5445,2,2,1
268,6500000,Adiala Road,4,3,1633,2,2,1
270,4000000,Adiala Road,2,2,816,1,1,0
278,5500000,Adiala Road,2,2,1361,2,2,1
279,9200000,Adiala Road,3,3,2314,2,2,1
280,6500000,Adiala Road,3,2,1633,2,2,1
282,6500000,Adiala Road,3,3,1633,2,2,1
289,6500000,Adiala Road,3,3,1633,2,2,1
290,6800000,Adiala Road,3,3,1633,2,2,1
294,6500000,Adiala Road,2,2,1633,2,2,1
295,4000000,Adiala Road,2,2,816,1,1,0
296,6500000,Adiala Road,2,4,1633,2,2,1
297,6000000,Adiala Road,3,2,1361,2,2,1
298,5500000,Adiala Road,3,2,1361,2,2,1
300,7000000,Adiala Road,4,4,1361,2,2,1
303,6400000,Adiala Road,2,2,1687,2,2,1
311,11000000,Adiala Road,6,5,2450,2,2,1
312,3650000,Adiala Road,2,2,816,1,1,0
315,6500000,Adiala Road,4,4,1361,2,2,1
316,3300000,Adiala Road,3,2,816,1,1,0
317,3300000,Adiala Road,3,2,680,1,1,0
324,3300000,Adiala Road,2,2,816,1,1,0
329,4400000,Adiala Road,2,2,1089,1,2,0
332,5300000,Adiala Road,2,2,1361,2,2,1
337,3200000,Adiala Road,2,2,816,1,1,0
341,6500000,Adiala Road,3,2,1361,2,2,1
342,5500000,Adiala Road,2,2,1361,2,2,1
343,6000000,Adiala Road,2,2,1361,2,2,1
344,11500000,Adiala Road,4,4,2450,2,2,1
346,5100000,Adiala Road,2,3,1361,2,2,1
348,5500000,Adiala Road,3,2,1361,2,2,1
353,6500000,Adiala Road,5,4,1361,2,2,1
355,5300000,Adiala Road,2,2,1361,2,2,1
357,7000000,Adiala Road,2,2,1361,2,2,1
358,5500000,Adiala Road,2,2,1361,2,2,1
359,6500000,Adiala Road,4,4,1361,2,2,1
361,6800000,Adiala Road,4,4,1361,2,2,1
362,3400000,Adiala Road,2,2,816,1,1,0
364,5600000,Adiala Road,3,3,1361,2,2,1
366,4300000,Adiala Road,3,2,1089,1,2,0
370,15000000,Adiala Road,6,6,3267,2,2,1
371,4200000,Adiala Road,2,2,1089,1,2,0
372,5500000,Adiala Road,4,4,1089,1,2,0
374,3400000,Adiala Road,2,2,816,1,1,0
375,3600000,Adiala Road,2,2,816,1,1,0
376,3300000,Adiala Road,2,2,816,1,1,0
377,3500000,Adiala Road,2,2,816,1,1,0
407,12500000,Adiala Road,5,5,2722,2,2,1
408,3400000,Adiala Road,2,2,816,1,1,0
409,3500000,Adiala Road,2,2,816,1,1,0
410,3500000,Adiala Road,2,2,816,1,1,0
412,3400000,Adiala Road,2,2,816,1,1,0
413,5500000,Adiala Road,4,4,1089,1,2,0
414,4000000,Adiala Road,2,2,816,1,1,0
425,6800000,Adiala Road,3,3,1633,2,2,1
433,6400000,Adiala Road,2,2,1633,2,2,1
434,5300000,Adiala Road,2,2,1361,2,2,1
436,3550000,Adiala Road,2,2,816,1,1,0
439,4000000,Adiala Road,2,2,952,1,1,0
440,5200000,Adiala Road,3,3,1225,1,2,0
442,15000000,Adiala Road,6,6,3267,2,2,1
447,6500000,Adiala Road,4,4,1361,2,2,1
450,10000000,Adiala Road,5,5,1905,2,2,1
451,3200000,Adiala Road,4,4,816,1,1,0
452,6500000,Adiala Road,4,4,1361,2,2,1
460,4300000,Adiala Road,2,2,1089,1,2,0
463,8600000,Adiala Road,4,4,1633,2,2,1
472,5000000,Adiala Road,6,6,1089,1,2,0
473,4800000,Adiala Road,2,2,1089,1,2,0
476,11000000,Adiala Road,5,5,2178,2,2,1
477,5500000,Adiala Road,2,2,1361,2,2,1
479,6200000,Adiala Road,2,2,1497,2,2,1
480,5800000,Adiala Road,2,2,1361,2,2,1
481,9500000,Adiala Road,4,4,2178,2,2,1
482,5000000,Adiala Road,2,2,1089,1,2,0
483,10000000,Adiala Road,5,5,1905,2,2,1
485,5800000,Adiala Road,3,2,1361,2,2,1
489,14000000,Adiala Road,5,5,2722,2,2,1
491,5500000,Adiala Road,2,2,1361,2,2,1
494,3200000,Adiala Road,2,2,816,1,1,0
498,5700000,Adiala Road,2,2,1361,2,2,1
501,4500000,Adiala Road,2,2,1089,1,2,0
502,5200000,Adiala Road,2,2,1361,2,2,1
503,4500000,Adiala Road,2,2,1089,1,2,0
505,6000000,Adiala Road,4,4,1361,2,2,1
506,6200000,Adiala Road,3,2,1633,2,2,1
507,3500000,Adiala Road,3,2,680,1,1,0
508,4200000,Adiala Road,3,2,1089,1,2,0
512,3400000,Adiala Road,2,2,816,1,1,0
514,5500000,Adiala Road,2,2,1361,2,2,1
518,5300000,Adiala Road,2,2,1361,2,2,1
519,4000000,Adiala Road,2,2,816,1,1,0
520,5600000,Adiala Road,4,4,1089,1,2,0
523,4000000,Adiala Road,3,3,816,1,1,0
525,3300000,Adiala Road,2,2,816,1,1,0
526,8000000,Adiala Road,4,4,1905,2,2,1
527,3200000,Adiala Road,2,2,816,1,1,0
528,3200000,Adiala Road,2,2,816,1,1,0
538,4800000,Adiala Road,6,6,1089,1,2,0
539,4500000,Adiala Road,2,2,1089,1,2,0
542,3400000,Adiala Road,2,2,816,1,1,0
543,3500000,Adiala Road,2,2,816,1,1,0
544,3500000,Adiala Road,2,2,816,1,1,0
547,3400000,Adiala Road,2,2,816,1,1,0
548,5500000,Adiala Road,4,4,1089,1,2,0
549,4000000,Adiala Road,2,2,816,1,1,0
553,12500000,Adiala Road,5,5,2722,2,2,1
555,5500000,Adiala Road,2,2,1361,2,2,1
559,6000000,Adiala Road,3,2,1361,2,2,1
560,5400000,Adiala Road,3,2,1361,2,2,1
581,2800000,Adiala Road,2,2,680,1,1,0
582,5900000,Adiala Road,3,2,1361,2,2,1
583,5800000,Adiala Road,3,2,1361,2,2,1
585,6500000,Adiala Road,4,4,1361,2,2,1
590,5600000,Adiala Road,2,2,1361,2,2,1
592,7000000,Adiala Road,4,4,1361,2,2,1
593,4300000,Adiala Road,2,2,1089,1,2,0
594,5500000,Adiala Road,4,4,1089,1,2,0
596,5800000,Adiala Road,2,2,1089,1,2,0
597,6800000,Adiala Road,4,4,1361,2,2,1
598,6400000,Adiala Road,3,3,1633,2,2,1
603,5500000,Adiala Road,3,2,1361,2,2,1
605,5500000,Adiala Road,2,2,1361,2,2,1
608,5000000,Adiala Road,2,2,1225,1,2,0
622,7800000,Adiala Road,4,3,1905,2,2,1
623,6000000,Adiala Road,5,4,1361,2,2,1
625,5500000,Adiala Road,3,4,1361,2,2,1
626,6500000,Adiala Road,3,3,1361,2,2,1
627,13000000,Adiala Road,6,6,2450,2,2,1
628,7000000,Adiala Road,3,3,1905,2,2,1
629,5500000,Adiala Road,3,2,1361,2,2,1
640,9500000,Adiala Road,4,4,1905,2,2,1
641,13000000,Adiala Road,6,6,2722,2,2,1
643,7000000,Adiala Road,3,3,1361,2,2,1
663,6800000,Adiala Road,3,3,1361,2,2,1
665,4300000,Adiala Road,2,2,1089,1,2,0
668,7500000,Adiala Road,5,4,1633,2,2,1
669,9000000,Adiala Road,3,3,2178,2,2,1
673,9000000,Adiala Road,2,3,2314,2,2,1
681,3400000,Adiala Road,2,2,816,1,1,0
693,11300000,Adiala Road,6,6,2450,2,2,1
695,5000000,Adiala Road,3,3,1225,1,2,0
697,6500000,Adiala Road,2,2,1497,2,2,1
699,4500000,Adiala Road,2,2,1089,1,2,0
700,8500000,Adiala Road,5,5,1633,2,2,1
701,9500000,Adiala Road,3,3,2178,2,2,1
703,9000000,Adiala Road,2,2,2178,2,2,1
704,6000000,Adiala Road,4,4,1361,2,2,1
705,4500000,Adiala Road,4,4,1089,1,2,0
707,11000000,Adiala Road,5,5,2178,2,2,1
709,5200000,Adiala Road,2,2,1361,2,2,1
710,6200000,Adiala Road,2,2,1361,2,2,1
711,5800000,Adiala Road,2,2,1361,2,2,1
712,9500000,Adiala Road,4,4,2178,2,2,1
713,5000000,Adiala Road,2,2,1089,1,2,0
714,6200000,Adiala Road,2,2,1361,2,2,1
716,6500000,Adiala Road,4,4,1361,2,2,1
718,4200000,Adiala Road,2,3,816,1,1,0
722,6600000,Adiala Road,3,2,1361,2,2,1
726,7500000,Adiala Road,4,4,1905,2,2,1
727,3300000,Adiala Road,2,2,816,1,1,0
728,5300000,Adiala Road,2,2,1361,2,2,1
736,5200000,Adiala Road,3,2,1361,2,2,1
737,5200000,Adiala Road,3,2,1361,2,2,1
738,6400000,Adiala Road,3,2,1633,2,2,1
739,5500000,Adiala Road,2,2,1361,2,2,1
740,5000000,Adiala Road,2,2,1089,1,2,0
747,7500000,Adiala Road,2,2,1905,2,2,1
748,5200000,Adiala Road,2,2,1361,2,2,1
749,9800000,Adiala Road,5,4,1905,2,2,1
751,6000000,Adiala Road,5,4,1361,2,2,1
756,11500000,Adiala Road,5,4,2994,2,2,1
759,6800000,Adiala Road,4,4,1633,2,2,1
761,5500000,Adiala Road,2,2,1361,2,2,1
766,5500000,Adiala Road,2,2,1361,2,2,1
769,4000000,Adiala Road,2,2,816,1,1,0
771,5300000,Adiala Road,2,2,1361,2,2,1
773,5600000,Adiala Road,4,4,1089,1,2,0
774,3400000,Adiala Road,2,2,816,1,1,0
775,3400000,Adiala Road,2,2,816,1,1,0
795,11000000,Adiala Road,5,5,2178,2,2,1
797,3200000,Adiala Road,2,2,816,1,1,0
801,6000000,Adiala Road,2,2,1361,2,2,1
802,5500000,Adiala Road,3,3,1361,2,2,1
803,5500000,Adiala Road,3,2,1361,2,2,1
813,6500000,Adiala Road,3,2,1361,2,2,1
818,6800000,Adiala Road,3,3,1361,2,2,1
820,4300000,Adiala Road,2,2,1089,1,2,0
822,3700000,Adiala Road,2,2,816,1,1,0
823,6500000,Adiala Road,2,2,1633,2,2,1
825,6500000,Adiala Road,4,4,1361,2,2,1
827,5000000,Adiala Road,3,3,1089,1,2,0
828,13000000,Adiala Road,4,4,3539,2,2,1
829,4500000,Adiala Road,2,2,1089,1,2,0
830,8500000,Adiala Road,5,5,1633,2,2,1
831,4000000,Adiala Road,2,2,816,1,1,0
832,9500000,Adiala Road,3,3,2178,2,2,1
836,6200000,Adiala Road,5,4,1361,2,2,1
842,6000000,Adiala Road,3,4,1361,2,2,1
843,7500000,Afshan Colony,4,5,1361,2,2,1
844,16900000,Afshan Colony,6,6,2994,2,2,1
845,15000000,Afshan Colony,6,6,2858,2,2,1
847,9000000,Afshan Colony,4,4,1633,2,2,1
848,13000000,Afshan Colony,6,6,1905,2,2,1
849,3500000,Afshan Colony,2,2,680,1,1,0
851,14500000,Afshan Colony,4,5,2450,2,2,1
852,11000000,Afshan Colony,2,6,2722,2,2,1
854,18000000,Afshan Colony,6,6,2994,2,2,1
855,5500000,Afshan Colony,2,2,952,1,1,0
856,5500000,Afshan Colony,3,5,1089,1,2,0
857,6000000,Afshan Colony,2,2,1361,2,2,1
858,16000000,Afshan Colony,4,5,2994,2,2,1
860,4500000,Afshan Colony,2,2,1089,1,2,0
861,14500000,Afshan Colony,3,2,2450,2,2,1
862,17500000,Afshan Colony,4,4,2722,2,2,1
866,22000000,Afshan Colony,6,6,3267,2,2,1
868,8600000,Airport Housing Society,5,4,1361,2,2,1
869,3800000,Airport Housing Society,3,2,1361,2,2,1
871,9500000,Airport Housing Society,4,4,1361,2,2,1
872,4200000,Airport Housing Society,3,2,1089,1,2,0
877,5600000,Airport Housing Society,2,2,1633,2,2,1
878,5600000,Airport Housing Society,2,2,1633,2,2,1
880,4200000,Airport Housing Society,2,2,1361,2,2,1
881,7000000,Airport Housing Society,2,2,1633,2,2,1
882,9000000,Airport Housing Society,4,4,1361,2,2,1
883,9000000,Airport Housing Society,4,4,1633,2,2,1
884,14000000,Airport Housing Society,6,5,2178,2,2,1
886,7300000,Airport Housing Society,4,4,1361,2,2,1
887,14000000,Airport Housing Society,5,7,2178,2,2,1
890,9500000,Airport Housing Society,5,4,1633,2,2,1
891,11000000,Airport Housing Society,5,4,1633,2,2,1
892,8000000,Airport Housing Society,4,4,1361,2,2,1
893,8000000,Airport Housing Society,4,4,1361,2,2,1
895,7500000,Airport Housing Society,2,4,1361,2,2,1
896,19900000,Airport Housing Society,5,6,3267,2,2,1
897,3900000,Airport Housing Society,3,2,1089,1,2,0
898,6500000,Airport Housing Society,3,3,1361,2,2,1
900,13000000,Airport Housing Society,4,3,2178,2,2,1
902,10000000,Airport Housing Society,4,4,1633,2,2,1
903,6000000,Airport Housing Society,4,4,816,1,1,0
904,6300000,Airport Housing Society,3,3,1361,2,2,1
905,8500000,Airport Housing Society,4,4,1361,2,2,1
910,13000000,Airport Housing Society,6,5,2178,2,2,1
912,8500000,Airport Housing Society,5,4,1361,2,2,1
913,8000000,Airport Housing Society,4,4,1361,2,2,1
915,11000000,Airport Housing Society,3,3,1905,2,2,1
916,10000000,Airport Housing Society,4,4,1633,2,2,1
917,7000000,Airport Housing Society,4,4,1361,2,2,1
920,7600000,Airport Housing Society,4,4,1524,2,2,1
921,8000000,Airport Housing Society,4,4,1361,2,2,1
923,11000000,Airport Housing Society,2,2,2994,2,2,1
924,9000000,Airport Housing Society,5,4,1633,2,2,1
925,5000000,Airport Housing Society,2,2,1361,2,2,1
927,16000000,Airport Housing Society,6,6,2178,2,2,1
930,8500000,Airport Housing Society,4,4,1361,2,2,1
931,8300000,Airport Housing Society,4,4,1361,2,2,1
932,5000000,Airport Housing Society,2,2,1361,2,2,1
933,8200000,Airport Housing Society,4,4,1361,2,2,1
934,7000000,Airport Housing Society,3,4,1361,2,2,1
935,7500000,Airport Housing Society,4,4,1361,2,2,1
936,8500000,Airport Housing Society,4,4,1361,2,2,1
937,6200000,Airport Housing Society,3,2,1633,2,2,1
938,7500000,Airport Housing Society,4,4,1361,2,2,1
939,7500000,Airport Housing Society,4,4,1361,2,2,1
941,15500000,Airport Housing Society,6,7,2722,2,2,1
943,13000000,Airport Housing Society,4,4,2178,2,2,1
944,22000000,Airport Housing Society,6,6,3267,2,2,1
945,8200000,Airport Housing Society,4,4,1361,2,2,1
948,9800000,Airport Housing Society,4,4,1633,2,2,1
950,5000000,Airport Housing Society,2,2,1361,2,2,1
951,9900000,Airport Housing Society,5,4,1633,2,2,1
953,4000000,Airport Housing Society,2,2,898,1,1,0
954,6400000,Airport Housing Society,3,3,1361,2,2,1
955,8200000,Airport Housing Society,4,4,1361,2,2,1
957,8200000,Airport Housing Society,2,2,1361,2,2,1
958,9500000,Airport Housing Society,5,4,1633,2,2,1
959,15000000,Airport Housing Society,6,5,2178,2,2,1
961,3600000,Airport Housing Society,2,3,816,1,1,0
962,5700000,Airport Housing Society,2,2,1361,2,2,1
963,5000000,Airport Housing Society,2,2,1089,1,2,0
964,4000000,Airport Housing Society,2,2,816,1,1,0
965,9000000,Airport Housing Society,3,3,1361,2,2,1
966,9500000,Airport Housing Society,3,3,1361,2,2,1
967,8000000,Airport Housing Society,4,4,1361,2,2,1
968,4500000,Airport Housing Society,2,2,1361,2,2,1
969,7500000,Airport Housing Society,4,4,1361,2,2,1
970,10000000,Airport Housing Society,4,4,1905,2,2,1
971,9000000,Airport Housing Society,5,5,1361,2,2,1
972,5000000,Airport Housing Society,2,2,1361,2,2,1
973,13000000,Airport Housing Society,4,4,2178,2,2,1
974,13000000,Airport Housing Society,4,4,2178,2,2,1
975,5300000,Airport Housing Society,2,2,1361,2,2,1
976,8000000,Airport Housing Society,4,4,1361,2,2,1
977,8500000,Airport Housing Society,4,4,1361,2,2,1
980,9000000,Airport Housing Society,4,4,1633,2,2,1
981,6000000,Airport Housing Society,3,3,1361,2,2,1
982,13000000,Airport Housing Society,4,4,2178,2,2,1
983,13000000,Airport Housing Society,4,4,2178,2,2,1
984,10000000,Airport Housing Society,6,5,1633,2,2,1
986,21500000,Airport Housing Society,2,3,3267,2,2,1
988,8300000,Airport Housing Society,5,4,1361,2,2,1
989,8000000,Airport Housing Society,4,4,1361,2,2,1
990,9000000,Airport Housing Society,5,4,1361,2,2,1
991,4500000,Airport Housing Society,3,2,1415,2,2,1
992,8200000,Airport Housing Society,4,4,1524,2,2,1
993,8000000,Airport Housing Society,4,4,1361,2,2,1
994,6500000,Airport Housing Society,3,3,1361,2,2,1
995,11000000,Airport Housing Society,4,4,1905,2,2,1
997,11000000,Airport Housing Society,4,4,1905,2,2,1
998,8500000,Airport Housing Society,5,4,1361,2,2,1
999,21000000,Airport Housing Society,6,6,3267,2,2,1
1000,21000000,Airport Housing Society,6,6,3267,2,2,1
1001,6500000,Airport Housing Society,4,4,1361,2,2,1
1002,13000000,Airport Housing Society,6,6,2178,2,2,1
1003,8000000,Airport Housing Society,4,4,1524,2,2,1
1004,13500000,Airport Housing Society,6,6,2178,2,2,1
1005,9900000,Airport Housing Society,4,4,1633,2,2,1
1008,14000000,Airport Housing Society,6,8,2178,2,2,1
1009,12800000,Airport Housing Society,6,8,2178,2,2,1
1010,3500000,Airport Housing Society,2,2,680,1,1,0
1011,8500000,Airport Housing Society,5,4,1633,2,2,1
1012,13000000,Airport Housing Society,4,4,2178,2,2,1
1013,7600000,Airport Housing Society,5,4,1361,2,2,1
1014,13500000,Airport Housing Society,5,4,2178,2,2,1
1016,9000000,Airport Housing Society,5,4,1633,2,2,1
1017,9500000,Airport Housing Society,4,4,1633,2,2,1
1018,9000000,Airport Housing Society,5,4,1633,2,2,1
1019,8000000,Airport Housing Society,4,4,1361,2,2,1
1020,5700000,Airport Housing Society,2,2,1361,2,2,1
1021,8200000,Airport Housing Society,4,4,1361,2,2,1
1022,9000000,Airport Housing Society,5,5,1361,2,2,1
1024,10000000,Airport Housing Society,4,4,1905,2,2,1
1026,7500000,Airport Housing Society,4,4,1361,2,2,1
1027,6500000,Airport Housing Society,3,3,1361,2,2,1
1028,6800000,Airport Housing Society,3,2,1633,2,2,1
1029,14000000,Airport Housing Society,5,5,2178,2,2,1
1030,9000000,Airport Housing Society,4,4,1361,2,2,1
1031,4500000,Airport Housing Society,4,4,762,1,1,0
1033,7200000,Airport Housing Society,4,4,1361,2,2,1
1035,4500000,Airport Housing Society,4,4,762,1,1,0
1037,7000000,Airport Housing Society,3,3,1633,2,2,1
1038,8500000,Airport Housing Society,6,5,1361,2,2,1
1039,11000000,Airport Housing Society,5,5,1633,2,2,1
1040,12800000,Airport Housing Society,7,7,2178,2,2,1
1044,10000000,Airport Housing Society,4,3,1361,2,2,1
1045,8500000,Airport Housing Society,3,4,1361,2,2,1
1046,6000000,Airport Housing Society,2,2,1524,2,2,1
1048,8500000,Airport Housing Society,4,4,1361,2,2,1
1050,9000000,Airport Housing Society,4,4,1633,2,2,1
1051,9000000,Airport Housing Society,4,4,1361,2,2,1
1052,5700000,Airport Housing Society,2,2,1524,2,2,1
1053,7000000,Airport Housing Society,4,4,1089,1,2,0
1054,7000000,Airport Housing Society,4,4,1361,2,2,1
1055,7000000,Airport Housing Society,4,4,1361,2,2,1
1056,4900000,Airport Housing Society,2,2,1361,2,2,1
1057,6400000,Airport Housing Society,3,3,1361,2,2,1
1058,8500000,Airport Housing Society,5,4,1361,2,2,1
1059,8500000,Airport Housing Society,4,4,1361,2,2,1
1060,6400000,Airport Housing Society,4,3,1361,2,2,1
1061,6500000,Airport Housing Society,4,3,1361,2,2,1
1062,12000000,Airport Housing Society,5,4,1633,2,2,1
1063,11000000,Airport Housing Society,5,4,1633,2,2,1
1064,8300000,Airport Housing Society,5,4,1361,2,2,1
1065,10000000,Airport Housing Society,4,4,1633,2,2,1
1066,8500000,Airport Housing Society,4,4,1361,2,2,1
1067,12000000,Airport Housing Society,5,4,1633,2,2,1
1069,4000000,Airport Housing Society,2,2,816,1,1,0
1070,6500000,Airport Housing Society,4,3,1361,2,2,1
1071,8000000,Airport Housing Society,4,4,1633,2,2,1
1072,8500000,Airport Housing Society,4,4,1361,2,2,1
1073,6300000,Airport Housing Society,3,3,1361,2,2,1
1074,6000000,Airport Housing Society,2,2,1361,2,2,1
1078,7500000,Airport Housing Society,4,4,1361,2,2,1
1079,6500000,Airport Housing Society,3,3,1361,2,2,1
1080,7800000,Airport Housing Society,5,4,1361,2,2,1
1081,13500000,Airport Housing Society,5,5,2178,2,2,1
1082,9800000,Airport Housing Society,4,4,1633,2,2,1
1083,6200000,Airport Housing Society,3,3,1361,2,2,1
1084,6500000,Airport Housing Society,3,3,1361,2,2,1
1085,13000000,Airport Housing Society,5,4,2178,2,2,1
1086,11000000,Airport Housing Society,5,6,1824,2,2,1
1087,7000000,Airport Housing Society,5,4,1361,2,2,1
1088,9500000,Airport Housing Society,4,4,1361,2,2,1
1090,7700000,Airport Housing Society,4,4,1361,2,2,1
1092,6500000,Airport Housing Society,4,3,1361,2,2,1
1093,8500000,Airport Housing Society,4,4,1361,2,2,1
1094,8000000,Airport Housing Society,4,4,1633,2,2,1
1095,12000000,Airport Housing Society,5,5,1824,2,2,1
1096,6200000,Airport Housing Society,4,3,1361,2,2,1
1099,6300000,Airport Housing Society,4,3,1361,2,2,1
1100,6200000,Airport Housing Society,4,3,1361,2,2,1
1101,6300000,Airport Housing Society,4,3,1361,2,2,1
1102,8000000,Airport Housing Society,4,4,1361,2,2,1
1105,4500000,Airport Housing Society,4,4,816,1,1,0
1106,3900000,Airport Housing Society,3,2,816,1,1,0
1108,3700000,Airport Housing Society,2,2,1361,2,2,1
1111,6000000,Airport Housing Society,3,2,1361,2,2,1
1113,7000000,Airport Housing Society,4,4,1361,2,2,1
1115,7500000,Airport Housing Society,4,4,1361,2,2,1
1116,9500000,Airport Housing Society,4,4,1633,2,2,1
1117,37000000,Airport Housing Society,7,6,5445,2,2,1
1118,7500000,Airport Housing Society,4,4,1442,2,2,1
1119,7800000,Airport Housing Society,5,4,1361,2,2,1
1120,6500000,Airport Housing Society,4,3,1361,2,2,1
1121,11000000,Airport Housing Society,4,4,1633,2,2,1
1122,8500000,Airport Housing Society,4,4,1361,2,2,1
1123,8000000,Airport Housing Society,3,2,1633,2,2,1
1124,6800000,Airport Housing Society,3,3,1361,2,2,1
1125,6800000,Airport Housing Society,3,3,1361,2,2,1
1126,9500000,Airport Housing Society,5,4,1633,2,2,1
1127,9500000,Airport Housing Society,5,4,1633,2,2,1
1128,6000000,Airport Housing Society,3,2,1361,2,2,1
1129,8000000,Airport Housing Society,4,4,1361,2,2,1
1130,6500000,Airport Housing Society,4,3,1361,2,2,1
1131,8500000,Airport Housing Society,4,4,1361,2,2,1
1132,7000000,Airport Housing Society,3,2,1633,2,2,1
1133,9500000,Airport Housing Society,5,4,1361,2,2,1
1134,8500000,Airport Housing Society,5,4,1361,2,2,1
1135,9500000,Airport Housing Society,5,4,1361,2,2,1
1136,8500000,Airport Housing Society,5,4,1361,2,2,1
1138,8000000,Airport Housing Society,4,4,1361,2,2,1
1141,6800000,Airport Housing Society,3,3,1361,2,2,1
1149,15000000,Airport Housing Society,6,6,2178,2,2,1
