,Price,House_location,baths,beds,total_sqft,kitchens,tv_lounge,store
17301,7500000,Range Road,5,4,1361,2,2,1
17302,11000000,Range Road,5,4,1361,2,2,1
17304,7500000,Range Road,5,4,1361,2,2,1
17305,25000000,Range Road,7,7,3267,2,2,1
17306,13500000,Range Road,4,4,1633,2,2,1
17307,13000000,Range Road,5,4,1905,2,2,1
17308,4500000,Range Road,4,4,816,1,1,0
17310,6200000,Range Road,2,4,816,1,1,0
17311,9500000,Range Road,2,2,1361,2,2,1
17312,13500000,Range Road,4,4,1633,2,2,1
17313,13000000,Range Road,5,4,1633,2,2,1
17314,13000000,Range Road,5,4,1633,2,2,1
17316,13000000,Range Road,5,4,1633,2,2,1
17318,9500000,Range Road,5,4,1633,2,2,1
17319,8500000,Range Road,5,4,1361,2,2,1
17321,5500000,Range Road,3,2,1089,1,2,0
17325,11000000,Range Road,5,4,1361,2,2,1
17326,20000000,Range Road,8,8,2722,2,2,1
17328,15000000,Range Road,6,6,2178,2,2,1
17329,6000000,Range Road,4,4,1089,1,2,0
17330,13000000,Range Road,4,4,2178,2,2,1
17331,8500000,Range Road,4,4,1633,2,2,1
17335,12000000,Range Road,6,5,1633,2,2,1
17336,9500000,Range Road,5,5,1361,2,2,1
17339,20000000,Range Road,4,8,2722,2,2,1
17340,11000000,Range Road,6,5,1361,2,2,1
17341,4800000,Range Road,3,3,680,1,1,0
17342,13500000,Range Road,4,4,1633,2,2,1
17343,13500000,Range Road,4,4,1633,2,2,1
17344,9500000,Range Road,5,4,1633,2,2,1
17345,4000000,Range Road,2,2,1089,1,2,0
17347,11500000,Range Road,5,4,1361,2,2,1
17348,21000000,Range Road,6,6,2722,2,2,1
17349,22500000,Range Road,6,5,2722,2,2,1
17350,12000000,Range Road,3,3,1633,2,2,1
17352,15000000,Range Road,4,4,2178,2,2,1
17353,10500000,Range Road,5,4,1361,2,2,1
17359,10500000,Range Road,4,4,1361,2,2,1
17362,4500000,Rawat,3,3,2722,2,2,1
17363,13000000,Rawat,4,4,3811,2,2,1
17364,5500000,Rawat,3,3,1361,2,2,1
17365,9000000,Rawat,2,6,4356,2,2,1
17366,6000000,Rawat,2,2,2722,2,2,1
17367,3500000,Rawat,2,2,1361,2,2,1
17368,3500000,Rawat,2,2,1361,2,2,1
17369,5000000,Rawat,2,3,1361,2,2,1
17370,6500000,other,2,3,1361,2,2,1
17371,27500000,other,6,7,4900,2,2,1
17372,34000000,other,6,7,7623,2,2,1
17374,15500000,other,7,8,2178,2,2,1
17376,27500000,other,6,5,5445,2,2,1
17377,11000000,Royal Avenue,4,4,1361,2,2,1
17379,10000000,Royal Avenue,4,4,1361,2,2,1
17381,11000000,Royal Avenue,6,6,1361,2,2,1
17382,12000000,Royal Avenue,4,4,1361,2,2,1
17383,10500000,Royal Avenue,4,4,1361,2,2,1
17393,20000000,Saddar,2,5,1361,2,2,1
17395,6500000,Saddar,4,4,952,1,1,0
17396,22000000,Saddar,6,6,2722,2,2,1
17397,15000000,Saddar,5,5,1796,2,2,1
17398,35000000,Saddar,5,5,5445,2,2,1
17401,12500000,Saddar,3,4,1089,1,2,0
17402,25000000,Saddar,8,8,2722,2,2,1
17403,15500000,Saddar,5,5,1796,2,2,1
17405,12500000,Sadiqa Abad,3,3,1361,2,2,1
17406,9600000,Sadiqa Abad,3,4,1361,2,2,1
17407,8500000,Sadiqa Abad,2,6,952,1,1,0
17409,12000000,Sadiqa Abad,2,4,1361,2,2,1
17410,12000000,Sadiqa Abad,4,4,1252,1,2,0
17411,5000000,Sadiqa Abad,4,4,735,1,1,0
17412,7000000,Sadiqa Abad,3,6,1007,1,1,0
17413,9750000,Sadiqa Abad,4,4,1089,1,2,0
17414,12000000,Sadiqa Abad,4,4,1361,2,2,1
17415,11000000,Sadiqa Abad,5,6,1361,2,2,1
17418,7400000,Sadiqabad,2,4,1361,2,2,1
17419,13000000,Sadiqabad,5,8,1633,2,2,1
17420,7000000,Sadiqabad,3,4,816,1,1,0
17423,23000000,Sadiqabad,4,4,2722,2,2,1
17424,5600000,Sadiqabad,3,6,1361,2,2,1
17425,10000000,Sadiqabad,3,6,1361,2,2,1
17426,11500000,Sadiqabad,4,4,1633,2,2,1
17427,7800000,Sadiqabad,4,7,1361,2,2,1
17428,5500000,Sadiqabad,2,3,680,1,1,0
17429,8500000,Sadiqabad,2,4,1361,2,2,1
