,Price,House_location,baths,beds,area
160,1850000,B-17,1,1,435
161,5724000,B-17,2,2,1143
162,3600000,B-17,2,2,816
163,4140000,B-17,1,1,843
164,2820000,B-17,1,1,571
165,2640000,B-17,1,1,544
166,6030000,B-17,2,2,1225
167,5820000,B-17,2,2,1170
168,5550000,B-17,2,2,1116
169,5250000,B-17,2,2,1061
170,9360000,B-17,3,3,1878
171,8220000,B-17,3,3,1660
172,6780000,B-17,3,3,1361
173,10300000,B-17,4,4,2069
174,3800000,B-17,1,2,762
175,2400000,B-17,1,1,435
176,2400000,B-17,1,1,435
177,3102000,B-17,1,1,680
178,6000000,B-17,2,4,1252
179,6000000,B-17,2,4,1252
180,5950000,B-17,2,2,1579
181,3100000,B-17,1,1,762
182,1925000,B-17,1,1,653
183,5550000,B-17,2,2,1116
184,2400000,B-17,1,1,490
185,5700000,B-17,3,2,1143
186,5950000,B-17,2,2,1579
187,2600000,B-17,2,2,843
188,2400000,B-17,1,1,435
189,3890000,B-17,2,2,789
190,1500000,B-17,1,1,462
191,4100000,B-17,1,1,843
192,3372000,B-17,1,1,680
193,5250000,B-17,2,2,1061
194,2820000,B-17,1,1,571
195,3300000,B-17,1,1,762
196,5200000,B-17,2,2,1061
197,3200000,B-17,1,1,762
198,5000000,B-17,2,2,1061
199,8000000,Bahria Town,2,2,1660
200,4800000,Bahria Town,1,1,789
201,5656000,Bahria Town,2,2,980
202,8800000,Bahria Town,2,2,1660
203,6365000,Bahria Town,1,1,1143
204,6000000,Bahria Town,1,1,1170
205,7000000,Bahria Town,2,2,1579
206,14700000,Bahria Town,4,3,2967
207,14700000,Bahria Town,3,3,2967
208,11600000,Bahria Town,3,3,2341
209,11600000,Bahria Town,3,3,2341
210,11000000,Bahria Town,3,3,2232
211,11000000,Bahria Town,3,3,2232
212,10500000,Bahria Town,2,2,2014
213,10500000,Bahria Town,2,2,2014
214,9200000,Bahria Town,2,2,1851
215,9200000,Bahria Town,2,2,1851
216,8400000,Bahria Town,2,2,1851
217,8400000,Bahria Town,2,2,1851
218,7400000,Bahria Town,2,2,1633
219,7400000,Bahria Town,2,2,1633
220,7300000,Bahria Town,1,1,1606
221,6225000,Bahria Town,1,1,1633
222,6850000,Bahria Town,2,2,1497
223,6850000,Bahria Town,2,2,1497
224,6800000,Bahria Town,2,2,1497
225,6800000,Bahria Town,2,2,1497
226,6100000,Bahria Town,1,1,1334
227,6100000,Bahria Town,1,1,1334
228,6000000,Bahria Town,2,2,1334
229,6000000,Bahria Town,2,2,1334
230,5500000,Bahria Town,1,1,1197
231,4650000,Bahria Town,1,1,1034
232,4650000,Bahria Town,1,1,1034
233,5500000,Bahria Town,1,1,1197
234,2000000,Bahria Town,2,2,980
235,8500000,Bahria Town,2,1,1034
236,4900000,Bahria Town,1,1,1197
237,8400000,Bahria Town,2,2,1851
238,12700000,Bahria Town,3,3,2967
239,3400000,Bahria Town,1,1,871
240,2600000,Bahria Town,1,1,653
241,8000000,Bahria Town,2,2,1143
242,3700000,Bahria Town,2,1,1007
243,3570000,Bahria Town,1,1,517
244,4850000,Bahria Town,2,2,1143
245,3200000,Bahria Town,1,1,598
246,5650000,Bahria Town,2,1,1007
247,7800000,Bahria Town,3,2,1415
248,3600000,Bahria Town,1,1,598
249,10000000,Bahria Town,3,2,1524
250,4583000,Bahria Town,1,1,735
251,3650000,Bahria Town,1,1,653
252,4500000,Bahria Town,1,1,762
253,5500000,Bahria Town,3,3,1116
254,3000000,Bahria Town,2,1,1034
255,6500000,Bahria Town,2,2,980
256,5200000,Bahria Town,2,2,925
257,4583000,Bahria Town,2,1,735
258,5700000,Bahria Town,2,1,1034
259,2600000,Bahria Town,1,1,435
260,8700000,Bahria Town,3,2,1742
261,6800000,Bahria Town,2,2,1497
262,3550000,Bahria Town,1,1,653
263,3990000,Bahria Town,1,1,680
264,7700000,Bahria Town,2,2,1551
265,8700000,Bahria Town,2,2,1742
266,7700000,Bahria Town,2,2,1551
267,6000000,Bahria Town,1,1,1225
268,1293000,Bahria Town,2,2,1742
269,3700000,Bahria Town,1,1,680
270,7700000,Bahria Town,2,2,1551
271,7080000,Bahria Town,2,2,1143
272,13500000,Bahria Town,2,2,2178
273,5000000,Bahria Town,1,1,435
274,7000000,Bahria Town,2,2,1143
275,6500000,Bahria Town,1,1,1143
276,4800000,Bahria Town,1,1,871
277,3500000,Bahria Town,1,1,544
278,7600000,Bahria Town,2,2,1415
279,4080000,Bahria Town,2,1,735
280,4000000,Bahria Town,2,1,816
281,5300000,Bahria Town,1,1,1007
282,8000000,Bahria Town,2,2,1524
283,3000000,Bahria Town,1,1,571
284,10200000,Bahria Town,2,2,1660
285,1200000,Bahria Town,1,1,1170
286,2000000,Bahria Town,2,2,1742
287,2500000,Bahria Town,3,3,2368
288,4000000,Bahria Town,2,1,571
289,4000000,Bahria Town,2,1,571
290,4000000,Bahria Town,2,1,571
291,4000000,Bahria Town,2,1,571
292,4000000,Bahria Town,2,1,571
293,4000000,Bahria Town,2,1,571
294,4000000,Bahria Town,2,1,571
295,4000000,Bahria Town,2,1,571
296,4000000,Bahria Town,2,1,571
297,4000000,Bahria Town,2,1,571
298,3497000,Bahria Town,1,1,653
299,4000000,Bahria Town,1,1,571
300,4000000,Bahria Town,1,1,571
301,4000000,Bahria Town,1,1,571
302,4000000,Bahria Town,1,1,571
303,4000000,Bahria Town,1,1,571
304,4000000,Bahria Town,1,1,571
305,7700000,Bahria Town,2,2,1551
306,2825000,Bahria Town,1,1,517
307,2800000,Bahria Town,1,1,490
308,2900000,Bahria Town,1,1,626
309,5500000,Bahria Town,1,1,925
310,8000000,Bahria Town,2,2,1606
311,5813000,Bahria Town,2,1,925
312,5500000,Bahria Town,2,2,1334
313,7700000,Bahria Town,2,2,1551
314,5600000,Bahria Town,1,1,1197
315,4500000,Bahria Town,1,1,735
316,6000000,Bahria Town,2,2,843
317,8500000,Bahria Town,2,2,1361
318,4500000,Bahria Town,1,1,653
319,6000000,Bahria Town,2,2,980
320,5600000,Bahria Town,2,1,1197
321,7700000,Bahria Town,3,2,1551
322,8700000,Bahria Town,3,2,1742
323,13500000,Bahria Town,4,3,2776
324,3900000,Bahria Town,1,1,653
325,10200000,Bahria Town,2,2,1660
