,Price,House_location,baths,beds,total_sqft,portion,garage
3540,18000,G-15,2,2,1905,1,1
3541,50000,E-11,2,2,2178,1,1
3542,55000,E-11,2,2,2722,1,1
3547,70000,I-8,3,3,3267,1,2
3548,70000,I-8,3,3,3267,1,2
3549,58000,I-8,3,3,3267,1,2
3550,59000,I-8,3,3,3267,1,2
3552,57000,I-8,3,3,3267,1,2
3553,25000,National Police Foundation O-9,3,3,2722,1,1
3554,25000,National Police Foundation O-9,3,3,2722,1,1
3557,27000,National Police Foundation O-9,2,2,2722,1,1
3560,55000,I-8,3,3,3267,1,2
3561,56000,I-8,3,3,3267,1,2
3571,30000,I-10,2,3,1824,1,1
3572,55000,E-11,3,2,2722,1,1
3573,38000,Margalla Town,3,4,1824,1,1
3574,65000,I-8,3,3,3267,1,2
3576,65000,I-8,3,3,3267,1,2
3577,60000,I-8,3,3,3267,1,2
3578,15000,Bani Gala,2,2,2178,1,1
3585,26000,PWD Housing Scheme,2,2,2722,1,1
3586,65000,I-8,3,3,3267,1,2
3588,32000,I-10,2,2,1361,1,0
3590,70000,I-8,3,3,3267,1,2
3591,60000,I-8,3,3,3267,1,2
3593,65000,I-8,3,3,3267,1,2
3597,65000,I-8,3,3,3267,1,2
3598,55000,I-8,3,3,2722,1,1
3599,60000,I-8,3,3,2722,1,1
3600,65000,I-8,3,3,2722,1,1
3602,75000,I-8,3,3,3267,1,2
3603,50000,I-8,3,3,2722,1,1
3606,55000,I-8,3,3,3267,1,2
3607,18000,G-11,1,1,1197,1,0
3608,30000,G-11,1,2,1089,1,0
3612,32000,DHA Defence,3,2,3267,1,2
3613,35000,DHA Defence,3,2,2722,1,1
3615,75000,I-8,3,3,3267,1,2
3616,70000,I-8,4,4,2722,1,1
3617,35000,G-9,2,2,1905,1,1
3624,52000,D-12,2,2,2722,1,1
3627,16000,I-10,1,2,1089,1,0
3628,65000,I-8,3,3,3267,1,2
3633,25000,I-10,1,2,1633,1,1
3638,65000,I-8,3,3,2722,1,1
3639,60000,I-8,3,3,2722,1,1
3640,16000,I-10,1,2,1633,1,1
3641,65000,I-8,3,3,3267,1,2
3642,75000,I-8,3,3,3267,1,2
3647,60000,I-8,3,3,3267,1,2
3648,65000,I-8,3,3,3267,1,2
3649,55000,I-8,3,3,3267,1,2
3650,65000,I-8,3,3,3267,1,2
3661,60000,I-8,3,3,2722,1,1
3666,22000,Soan Garden,2,2,1633,1,1
3680,55000,E-11,3,2,2178,1,1
3682,28000,G-13,3,2,2178,1,1
3683,40000,I-8,3,2,3375,1,2
3684,55000,G-13,3,3,3865,1,2
3685,40000,G-13,3,2,2178,1,1
3686,25000,Green Avenue,3,2,1633,1,1
3687,32000,I-10,2,2,1633,1,1
3691,25000,CBR Town,2,2,2531,1,1
3692,50000,G-11,3,4,2722,1,1
3693,28000,Pakistan Town,3,3,2722,1,1
3695,25000,Korang Town,2,2,2178,1,1
3696,23000,Korang Town,2,2,2178,1,1
3698,25000,Korang Town,2,2,1905,1,1
3699,20000,Korang Town,2,2,1361,1,0
3702,50000,E-11,3,2,2178,1,1
3714,28000,CBR Town,3,3,3267,1,2
3715,30000,CBR Town,3,3,3267,1,2
3716,32000,CBR Town,3,3,3267,1,2
3717,34000,CBR Town,3,3,3267,1,2
3718,35000,CBR Town,3,3,3267,1,2
3723,42000,G-9,2,2,2722,1,1
3724,45000,G-9,2,2,3267,1,2
3726,70000,I-8,3,3,3267,1,2
3730,70000,I-8,3,3,3267,1,2
3731,60000,I-8,3,3,3267,1,2
3732,62000,I-8,3,3,3267,1,2
3733,70000,I-8,3,3,3267,1,2
3738,60000,I-8,3,3,3267,1,2
3743,65000,I-8,3,3,3267,1,2
3744,75000,I-8,3,3,3267,1,2
3747,65000,I-8,3,3,3267,1,2
3753,70000,I-8,3,3,3267,1,2
3757,50000,I-8,3,3,2722,1,1
3758,55000,I-8,3,3,2722,1,1
3759,65000,I-8,3,3,3267,1,2
3761,60000,I-8,3,3,3267,1,2
3762,60000,I-8,3,3,3267,1,2
3763,60000,I-8,3,3,3267,1,2
3764,55000,I-8,3,3,3267,1,2
3765,55000,I-8,3,3,3267,1,2
3766,60000,I-8,3,3,3267,1,2
3768,30000,DHA Defence,3,3,2722,1,1
3772,38000,Margalla Town,3,4,1824,1,1
3773,30000,I-10,2,2,1089,1,0
3775,60000,I-8,3,3,3267,1,2
3777,28000,G-15,3,2,2178,1,1
3781,40000,G-9,2,3,3865,1,2
3784,35000,DHA Defence,4,2,2722,1,1
3785,32000,DHA Defence,4,3,3267,1,2
3788,42000,G-15,4,3,3865,1,2
3789,40000,Margalla Town,4,4,1905,1,1
3790,45000,Bahria Town,3,3,2722,1,1
3791,65000,I-8,3,3,3865,1,2
3792,75000,I-8,3,3,3865,1,2
3793,65000,I-8,3,3,3865,1,2
3794,65000,I-8,3,3,3865,1,2
3801,40000,G-13,4,4,2178,1,1
3802,40000,G-11,2,2,1905,1,1
3803,38000,G-13,3,3,1905,1,1
3805,35000,DHA Defence,2,2,2722,1,1
3807,40000,DHA Defence,2,2,2722,1,1
3808,58000,G-11,3,3,3865,1,2
3810,60000,F-11,3,3,2531,1,1
3821,35000,G-10,2,2,1361,1,0
3823,60000,I-8,3,3,3811,1,2
3825,65000,I-8,3,3,3267,1,2
3826,25000,G-13,2,2,1089,1,0
3828,38000,G-11,2,2,2178,1,1
3830,65000,I-8,3,3,2722,1,1
3832,70000,I-8,3,3,3267,1,2
3834,60000,I-8,3,3,2722,1,1
3836,70000,I-8,3,3,3267,1,2
3837,50000,G-11,4,3,1905,1,1
3838,70000,I-8,3,3,3267,1,2
3839,72500,I-8,3,3,3267,1,2
3840,65000,I-8,3,3,3267,1,2
3841,60000,I-8,3,3,3267,1,2
3843,65000,I-8,3,3,3267,1,2
3844,58000,I-8,3,3,3267,1,2
3845,50000,E-11,4,4,3267,1,2
3846,69000,I-8,3,3,3267,1,2
3855,60000,I-8,3,3,3267,1,2
3856,70000,I-8,3,3,2722,1,1
3857,62000,I-8,3,3,3267,1,2
3858,60000,I-8,3,3,3267,1,2
3859,45000,G-10,2,2,1905,1,1
3860,60000,I-8,3,3,2722,1,1
3861,60000,I-8,3,3,3267,1,2
3862,70000,I-8,3,3,3267,1,2
3863,75000,I-8,3,3,3267,1,2
3864,50000,G-11,3,3,2722,1,1
3865,55000,G-13,4,4,3811,1,2
3866,31000,I-10,2,2,1824,1,1
3867,36000,I-10,3,3,1824,1,1
3868,22000,I-10,1,2,1824,1,1
3869,26000,I-10,1,2,1824,1,1
3870,55000,D-12,4,3,3865,1,2
3871,45000,E-11,2,2,1633,1,1
3872,50000,G-9,2,3,2722,1,1
3875,60000,E-11,3,3,3811,1,2
3876,20000,E-11,1,1,1089,1,0
3877,34000,G-9,2,2,1361,1,0
3879,45000,G-9,2,2,3267,1,2
3880,42000,G-9,2,2,2722,1,1
3881,35000,G-9,1,2,2722,1,1
3882,60000,G-11,3,3,3865,1,2
3883,24000,G-13,2,2,1197,1,0
3884,45000,D-12,3,3,2722,1,1
3886,27000,G-13,3,2,1089,1,0
3887,70000,I-8,3,3,3865,1,2
3888,65000,G-10,3,3,3267,1,2
3890,45000,G-10,2,3,3267,1,2
3893,36000,G-10,2,2,1361,1,0
3895,52000,G-9,2,3,2722,1,1
3900,55000,G-9,3,3,2450,1,1
3901,43000,G-8,2,2,1633,1,1
3902,43000,G-9,2,2,1633,1,1
3903,30000,D-12,2,3,1089,1,0
3904,23000,I-10,2,2,1824,1,1
3909,65000,I-8,2,2,3811,1,2
3912,16000,National Police Foundation O-9,2,2,1361,1,0
3913,23000,PWD Housing Scheme,3,4,2722,1,1
3916,27000,G-15,3,3,1905,1,1
3918,65000,I-8,2,2,3267,1,2
3919,28000,G-11,2,3,1361,1,0
3920,28000,G-11,2,3,1361,1,0
3921,55000,E-11,3,3,2178,1,1
3924,45000,DHA Defence,4,3,3267,1,2
3925,25000,National Police Foundation O-9,3,3,2722,1,1
3928,43000,G-10,3,3,1361,1,0
3930,26000,Soan Garden,3,2,925,1,0
3931,30000,G-11,1,2,1361,1,0
3934,28000,I-10,2,1,1824,1,1
3935,25000,G-15,3,3,1905,1,1
3937,38000,I-10,3,3,1824,1,1
3943,38000,G-11,3,3,2178,1,1
3945,40000,CBR Town,3,3,3865,1,2
3949,50000,G-9,3,3,2668,1,1
3950,28000,National Police Foundation O-9,3,3,2722,1,1
3951,50000,G-13,3,3,2722,1,1
3952,35000,G-13,2,2,2178,1,1
3953,28000,G-13,2,2,1089,1,0
3958,32000,G-15,3,3,1905,1,1
3959,50000,G-13,2,2,2722,1,1
3961,37000,Bahria Town,3,3,2722,1,1
3966,22000,I-10,1,2,1089,1,0
3968,60000,other,1,1,735,1,0
3970,27000,G-15,2,2,2178,1,1
3971,32000,G-15,4,3,2178,1,1
3972,35000,G-15,3,3,2722,1,1
3974,40000,other,3,3,3267,1,2
3977,36000,CBR Town,3,3,3811,1,2
3978,60000,G-11,3,3,3811,1,2
3980,46000,G-11,4,3,2178,1,1
3990,50000,Bahria Town,5,4,2722,1,1
3991,45000,Bahria Town,5,4,2722,1,1
3992,40000,Bahria Town,5,4,2722,1,1
3993,35000,Bahria Town,5,4,2722,1,1
3994,50000,G-9,3,3,2722,1,1
3996,25000,G-13,2,2,1089,1,0
3998,42000,G-10,2,3,3865,1,2
3999,45000,G-10,2,2,3865,1,2
4001,23000,G-11,2,2,1089,1,0
4006,25000,FECHS,2,2,2178,1,1
4011,36000,I-10,3,3,1824,1,1
4012,25000,I-10,1,2,1824,1,1
4014,55000,G-13,3,3,2722,1,1
4015,55000,I-8,3,3,3811,1,2
4030,40000,G-13,4,3,2178,1,1
4031,90000,I-8,2,2,3267,1,2
4036,65000,G-10,4,4,3267,1,2
4038,45000,G-13,5,3,2722,1,1
4052,33000,DHA Defence,3,3,2722,1,1
4053,31000,DHA Defence,2,2,2722,1,1
4054,45000,DHA Defence,3,3,3267,1,2
4055,60000,DHA Defence,3,3,3267,1,2
4057,55000,I-8,2,2,3375,1,2
4058,50000,G-11,2,3,1905,1,1
4060,27000,G-11,1,1,1089,1,0
4061,27000,G-11,1,1,1089,1,0
4062,25000,I-10,2,2,1089,1,0
4063,25000,G-13,3,2,1197,1,0
4066,50000,G-13,5,3,2722,1,1
4067,55000,I-8,3,3,3267,1,2
4071,45000,E-11,2,2,2178,1,1
4072,50000,E-11,2,2,2178,1,1
4073,40000,E-11,2,2,1633,1,1
4074,55000,E-11,2,2,2722,1,1
4075,60000,E-11,2,2,2722,1,1
4076,75000,E-11,3,3,3811,1,2
4077,70000,E-11,3,3,3811,1,2
4083,50000,G-13,3,3,3267,1,2
4084,55000,G-13,3,3,3267,1,2
4090,45000,DHA Defence,2,2,2722,1,1
4102,25000,G-13,2,2,1197,1,0
4110,55000,I-8,2,3,3375,1,2
4112,30000,G-11,2,3,1361,1,0
4113,35000,G-11,2,3,1361,1,0
4115,35000,G-15,3,3,2722,1,1
4116,35000,G-15,3,3,2722,1,1
4117,45000,other,3,3,3811,1,2
4118,45000,other,3,3,3811,1,2
4119,28000,G-15,2,2,2178,1,1
4121,30000,other,2,2,1905,1,1
4122,43000,G-13,2,2,2178,1,1
4136,40000,G-9,2,2,1796,1,1
4137,40000,CBR Town,3,3,3267,1,2
4163,25000,CBR Town,2,2,1905,1,1
4176,15000,I-10,1,2,1824,1,1
4179,40000,G-13,3,3,2178,1,1
4181,40000,CBR Town,3,3,3811,1,2
4197,13000,Bani Gala,1,1,1361,1,0
4198,45000,G-13,5,3,2722,1,1
4230,26000,G-11,1,2,1089,1,0
4232,45000,G-13,3,3,1089,1,0
4233,55000,G-13,3,3,3267,1,2
4238,25000,G-13,2,2,1089,1,0
4239,40000,G-13,3,3,1905,1,1
4240,45000,G-13,3,3,2722,1,1
4243,55000,I-8,2,2,3865,1,2
4244,48000,G-13,3,3,2722,1,1
4245,30000,I-10,2,2,1361,1,0
4246,25000,I-10,2,2,1633,1,1
4248,60000,I-8,3,3,3375,1,2
4249,30000,G-11,2,2,1361,1,0
4250,40000,G-11,2,2,1905,1,1
4251,50000,G-11,2,2,1905,1,1
4252,45000,G-11,2,2,1905,1,1
4253,22000,G-13,2,2,1089,1,0
4254,50000,Bahria Town,3,3,2722,1,1
4256,38000,G-11,2,3,1633,1,1
4257,55000,G-11,4,3,2722,1,1
4270,15000,I-10,1,2,1824,1,1
4275,75000,other,3,3,680,1,0
4276,47000,I-8,2,3,3375,1,2
4280,60000,I-8,3,2,3375,1,2
4283,30000,G-15,2,2,1905,1,1
4284,31000,G-15,4,4,1905,1,1
4285,36500,I-10,3,3,1824,1,1
4295,25000,G-13,2,2,1089,1,0
4296,40000,G-13,3,2,1905,1,1
4298,24000,Margalla Town,2,1,1089,1,0
4300,43000,G-13,4,3,1905,1,1
4303,30000,G-13,3,3,2722,1,1
4309,40000,I-10,2,2,1633,1,1
4310,32000,I-10,2,2,1361,1,0
4311,25000,I-10,2,2,1089,1,0
4312,38000,G-15,3,3,3811,1,2
4313,38000,G-15,3,3,3811,1,2
4314,38000,G-15,3,3,3811,1,2
4317,37000,G-15,3,3,3811,1,2
4319,42000,G-15,2,2,1905,1,1
4321,26000,G-15,2,2,1905,1,1
4354,48000,G-10,3,3,3267,1,2
4355,35000,G-10,2,2,2178,1,1
4357,35000,G-11,2,2,1361,1,0
4358,65000,I-8,3,3,3865,1,2
4359,68000,I-8,3,3,3865,1,2
4360,65000,I-8,3,3,3865,1,2
4362,60000,G-14,3,3,2722,1,1
4363,60000,G-14,3,3,2722,1,1
4366,36000,G-10,2,2,1361,1,0
4369,50000,G-10,3,3,2722,1,1
4373,70000,G-11,3,3,3267,1,2
4377,70000,G-9,3,3,3267,1,2
4382,48000,G-13,3,3,2722,1,1
4383,55000,G-13,3,3,3267,1,2
4390,29000,G-15,2,2,2178,1,1
4391,40000,G-15,3,3,3865,1,2
4392,39000,G-15,3,3,3865,1,2
4393,30000,G-15,2,2,2178,1,1
4394,28000,G-15,2,2,2178,1,1
4396,45000,G-15,3,3,3865,1,2
4398,36000,G-13,2,2,1905,1,1
4399,38000,I-10,2,2,1824,1,1
4401,15000,I-10,1,2,1824,1,1
4404,38000,I-10,3,3,1824,1,1
4405,70000,I-8,3,3,3267,1,2
4406,60000,I-8,3,3,3267,1,2
4407,62000,I-8,3,3,3267,1,2
4408,70000,I-8,3,3,3267,1,2
4409,60000,I-8,3,3,3267,1,2
4410,65000,I-8,3,3,3267,1,2
4417,48000,G-13,4,3,3267,1,2
4418,47000,G-13,3,3,3267,1,2
4425,55000,I-8,3,3,3267,1,2
4427,70000,I-8,3,3,3267,1,2
4428,43000,G-11,2,2,1905,1,1
4429,62000,I-8,3,3,3267,1,2
4431,50000,I-8,3,3,2722,1,1
4432,55000,I-8,3,3,2722,1,1
4433,65000,I-8,3,3,3267,1,2
4434,60000,I-8,3,3,3267,1,2
4435,60000,I-8,3,3,3267,1,2
4436,60000,I-8,3,3,3267,1,2
4437,18000,I-10,1,2,1633,1,1
4438,26000,I-10,1,2,1361,1,0
4439,65000,I-8,3,3,3267,1,2
4440,35000,I-10,2,3,1633,1,1
4441,65000,I-8,3,3,3267,1,2
4446,60000,G-11,3,3,3865,1,2
4447,18000,G-11,1,2,1197,1,0
4448,26000,G-11,1,2,1197,1,0
4451,26000,CBR Town,3,3,1905,1,1
4452,70000,G-9,3,3,3267,1,2
4454,37000,E-11,2,2,1905,1,1
4455,55000,G-13,4,4,3811,1,2
4457,48000,G-13,3,3,2722,1,1
4459,65000,G-10,3,3,3865,1,2
4460,38000,G-13,2,2,1905,1,1
4464,18000,National Police Foundation O-9,2,3,1361,1,0
4465,26000,G-13,3,2,1197,1,0
4466,40000,I-9,3,3,2178,1,1
4467,60000,G-13,4,3,3865,1,2
4468,60000,I-8,2,3,2722,1,1
4469,35000,G-8,2,2,1633,1,1
4471,65000,G-13,3,3,3811,1,2
4472,40000,G-13,3,3,2722,1,1
4473,20000,Ghauri Town,2,2,1633,1,1
4474,25000,G-13,2,2,1089,1,0
4481,55000,G-13,3,3,2722,1,1
4482,40000,I-10,2,2,1633,1,1
4483,55000,G-13,4,3,3267,1,2
4486,33000,I-10,3,3,1361,1,0
4487,85000,I-8,3,3,3267,1,2
4488,60000,I-8,3,3,3267,1,2
4489,63000,I-8,3,3,3267,1,2
4490,65000,G-11,2,2,3267,1,2
4491,55000,I-8,3,3,3267,1,2
4492,25000,other,3,2,2722,1,1
4494,32000,DHA Defence,2,2,2722,1,1
4498,55000,E-11,2,2,2722,1,1
4499,55000,G-13,4,3,3267,1,2
4501,55000,G-11,3,3,2722,1,1
4505,15000,I-10,1,2,1824,1,1
4507,45000,F-11,2,2,2722,1,1
4509,23500,G-13,2,2,1197,1,0
4512,31000,G-15,4,3,3865,1,2
4516,28000,National Police Foundation O-9,3,3,2722,1,1
4518,28000,G-13,2,2,1334,1,0
4519,25000,G-13,3,3,1197,1,0
4525,14000,Ghauri Town,2,2,1089,1,0
4526,18000,Ghauri Town,2,2,1361,1,0
4527,55000,G-13,4,4,3865,1,2
4532,60000,G-11,3,3,2450,1,1
4541,40000,G-11,3,2,1905,1,1
4546,40000,G-10,2,2,1361,1,0
4547,47000,G-11,4,3,1905,1,1
4551,32000,I-10,2,2,1633,1,1
4552,35000,I-10,2,2,1633,1,1
4553,32000,I-10,2,2,1633,1,1
4554,28000,I-10,2,2,1633,1,1
4557,25000,PWD Housing Scheme,3,3,2722,1,1
4558,29000,PWD Housing Scheme,3,3,2722,1,1
4559,26000,PWD Housing Scheme,3,3,2722,1,1
4560,27000,PWD Housing Scheme,3,3,2722,1,1
4561,28000,PWD Housing Scheme,3,3,2722,1,1
4562,33000,PWD Housing Scheme,3,3,3267,1,2
4563,34000,PWD Housing Scheme,3,3,3267,1,2
4564,34000,PWD Housing Scheme,3,3,3267,1,2
4565,35000,PWD Housing Scheme,3,3,3267,1,2
4566,36000,PWD Housing Scheme,3,3,3267,1,2
4567,25000,Pakistan Town,3,3,2722,1,1
4571,26000,Pakistan Town,3,3,2722,1,1
4573,27000,Pakistan Town,3,3,2722,1,1
4574,28000,Pakistan Town,3,3,2722,1,1
4575,29000,Pakistan Town,3,3,2722,1,1
4576,35000,G-10,2,2,3865,1,2
4579,25000,PWD Housing Scheme,3,3,2722,1,1
4580,26000,PWD Housing Scheme,3,3,2722,1,1
4581,29000,PWD Housing Scheme,3,3,2722,1,1
4582,28000,PWD Housing Scheme,3,3,2722,1,1
4583,27000,PWD Housing Scheme,3,3,2722,1,1
4584,26000,PWD Housing Scheme,3,3,2722,1,1
4585,33000,PWD Housing Scheme,3,3,3267,1,2
4586,34000,PWD Housing Scheme,3,3,3267,1,2
4587,35000,PWD Housing Scheme,3,3,3267,1,2
4588,36000,PWD Housing Scheme,3,3,3267,1,2
4589,35000,G-11,1,2,2178,1,1
4590,55000,E-11,2,2,2722,1,1
4591,25000,G-11,1,2,816,1,0
4594,42000,E-11,2,2,1633,1,1
4596,50000,E-11,2,2,2178,1,1
4597,50000,E-11,2,2,2450,1,1
4598,35000,G-8,2,2,1824,1,1
4599,50000,D-12,3,3,3811,1,2
4600,60000,E-11,3,3,3267,1,2
4602,40000,E-11,2,2,2178,1,1
4616,70000,E-11,3,3,3811,1,2
4617,65000,E-11,3,3,3811,1,2
4618,60000,E-11,2,2,2722,1,1
4619,55000,E-11,2,2,2722,1,1
4620,50000,E-11,2,2,2178,1,1
4621,45000,E-11,2,2,1633,1,1
4622,40000,E-11,2,2,1633,1,1
4630,26000,G-15,2,2,2178,1,1
4631,25000,G-9,1,2,1824,1,1
4633,50000,F-11,2,2,2668,1,1
4634,60000,I-8,3,3,3865,1,2
4635,50000,I-8,3,3,3375,1,2
4636,55000,I-8,3,3,3375,1,2
4637,47000,E-11,4,4,2722,1,1
4639,16000,National Police Foundation O-9,2,1,1361,1,0
4640,25000,National Police Foundation O-9,3,2,2722,1,1
4641,38000,G-13,3,3,1905,1,1
4642,35000,Bahria Town,3,3,2722,1,1
4643,25000,I-10,1,2,1824,1,1
4644,37000,Bahria Town,3,3,2722,1,1
4645,77000,F-11,3,3,816,1,0
4646,36000,I-10,3,3,1824,1,1
4647,25500,I-10,1,2,1824,1,1
4648,29000,I-10,2,2,1824,1,1
4649,38000,G-13,2,2,1905,1,1
4717,70000,G-10,2,2,3267,1,2
4718,50000,G-13,2,2,1089,1,0
4719,100000,G-10,3,3,3865,1,2
4720,50000,G-9,3,3,2722,1,1
4721,65000,G-9,3,3,3267,1,2
4722,40000,G-13,4,4,2722,1,1
4723,55000,G-13,4,3,2722,1,1
4771,70000,I-8,2,2,3267,1,2
4782,55000,G-13,4,3,3865,1,2
4783,65000,G-10,3,3,3865,1,2
4787,38000,G-10,2,2,3267,1,2
4796,60000,I-8,3,3,3865,1,2
4797,60000,I-8,3,3,3865,1,2
4798,60000,I-8,3,3,3865,1,2
4800,55000,I-8,3,3,3865,1,2
4801,60000,I-8,3,3,3865,1,2
4802,55000,I-8,3,3,3865,1,2
4803,50000,E-11,3,2,2722,1,1
4805,40000,Bahria Town,2,2,2722,1,1
4806,45000,E-11,3,2,2722,1,1
4807,45000,E-11,3,3,2722,1,1
4808,55000,E-11,2,3,2722,1,1
4811,32000,I-10,2,2,1633,1,1
4812,35000,I-10,2,2,1633,1,1
4813,32000,I-10,2,2,1633,1,1
4814,28000,I-10,2,2,1633,1,1
4815,32000,I-10,2,2,1361,1,0
4816,32000,I-10,2,2,1633,1,1
4817,28000,I-10,2,2,1633,1,1
4818,28000,I-10,2,2,1633,1,1
4819,50000,E-11,2,2,2450,1,1
4821,50000,E-11,2,2,2178,1,1
4833,65000,I-8,3,3,3375,1,2
4834,55000,I-8,2,2,3375,1,2
4835,35000,I-10,2,2,1361,1,0
4838,40000,G-13,2,2,1905,1,1
4840,40000,G-11,2,2,1905,1,1
4842,55000,F-11,2,2,1824,1,1
4895,22000,G-13,2,2,1089,1,0
4905,36000,Margalla Town,3,4,1824,1,1
4906,20000,I-14,3,3,1089,1,0
4936,63000,G-11,3,3,3267,1,2
4940,50000,G-11,3,2,2178,1,1
4949,55000,G-13,3,3,3865,1,2
4950,56000,I-10,3,4,1633,1,1
4957,60000,G-10,3,3,3267,1,2
4958,60000,I-8,3,3,3375,1,2
4992,25000,Ghauri Town,3,3,1905,1,1
4993,75000,I-8,3,3,3865,1,2
4994,25000,G-13,2,2,1197,1,0
4996,25000,Pakistan Town,3,2,1905,1,1
5001,27000,I-10,2,2,1633,1,1
5002,31000,I-10,2,3,1361,1,0
5003,26500,I-10,2,3,1633,1,1
5011,63000,G-10,3,3,3865,1,2
5013,34000,Lehtarar Road,3,2,1633,1,1
5014,34000,Lehtarar Road,3,2,1633,1,1
5015,34000,Lehtarar Road,3,2,1633,1,1
5017,34000,Lehtarar Road,3,2,1633,1,1
5018,35000,Lehtarar Road,3,2,1633,1,1
5019,35000,Lehtarar Road,3,2,1633,1,1
5020,35000,Lehtarar Road,3,2,1633,1,1
5021,35000,Lehtarar Road,3,2,1633,1,1
5022,36000,Lehtarar Road,3,2,1633,1,1
5023,38000,Lehtarar Road,3,2,1633,1,1
5024,46000,Lehtarar Road,3,2,1633,1,1
5025,46000,Lehtarar Road,3,2,1633,1,1
5026,46000,Lehtarar Road,3,2,1633,1,1
5035,55000,G-8,3,3,2450,1,1
5036,75000,I-8,3,3,3865,1,2
5040,33000,G-15,2,2,2178,1,1
5041,33000,G-15,2,2,2178,1,1
5042,33000,G-15,2,2,2178,1,1
5045,35000,G-15,2,2,2178,1,1
5046,35000,G-15,2,2,2178,1,1
5047,45000,G-15,3,3,3811,1,2
5048,45000,G-15,3,3,3811,1,2
5050,65000,I-8,3,3,3865,1,2
5054,30000,G-15,2,2,2178,1,1
5058,30000,G-15,2,2,2178,1,1
5059,30000,G-15,2,2,2178,1,1
5061,45000,G-15,3,3,3811,1,2
5063,40000,G-15,3,3,3811,1,2
5064,28000,G-15,2,2,2178,1,1
5066,29000,G-15,2,2,2178,1,1
5068,40000,G-15,3,3,3811,1,2
5069,20000,PWD Housing Scheme,2,2,2722,1,1
5070,40000,E-11,3,3,2722,1,1
5071,42000,E-11,3,2,2722,1,1
5073,25000,G-13,2,2,1089,1,0
5074,40000,G-13,3,3,1905,1,1
5076,45000,G-13,3,3,2722,1,1
5077,47000,G-13,3,3,3267,1,2
5079,25000,G-13,2,2,1089,1,0
5080,37000,G-13,3,3,1905,1,1
5081,43000,G-13,3,3,2722,1,1
5082,50000,G-13,3,3,3267,1,2
5083,34000,G-13,3,3,1905,1,1
5084,24000,G-13,2,2,1089,1,0
5085,38000,G-13,3,3,1905,1,1
5086,43000,G-13,3,3,2722,1,1
5087,52000,G-13,3,3,3267,1,2
5092,25000,G-13,3,2,1197,1,0
5094,25000,PWD Housing Scheme,3,2,2722,1,1
5095,25000,G-13,2,2,1197,1,0
5098,28000,FECHS,4,3,2722,1,1
5099,21000,FECHS,3,2,1905,1,1
5101,130000,G-11,3,3,598,1,0
5114,35000,G-11,2,2,1633,1,1
5115,45000,G-13,3,3,2450,1,1
5152,47000,G-13,3,3,3267,1,2
5154,45000,E-11,3,2,2178,1,1
5156,60000,I-8,3,3,2722,1,1
5159,75000,I-8,3,3,3267,1,2
5189,40000,G-13,4,3,2178,1,1
5190,65000,I-8,4,3,3267,1,2
5191,75000,I-8,3,3,3267,1,2
5192,70000,I-8,4,4,2722,1,1
5193,50000,I-8,3,3,3267,1,2
5194,55000,G-11,2,3,3865,1,2
5195,55000,G-11,2,3,3865,1,2
5196,65000,I-8,3,3,3267,1,2
5197,65000,I-8,3,3,3267,1,2
5198,70000,I-8,3,3,2722,1,1
5200,65000,I-8,3,3,3267,1,2
5203,65000,I-8,3,3,3267,1,2
5204,70000,I-8,3,3,3267,1,2
5205,55000,I-8,3,3,3267,1,2
5206,37000,G-13,3,3,1905,1,1
5207,60000,I-8,3,3,3267,1,2
5209,25000,G-13,2,2,1089,1,0
5210,60000,G-10,3,4,3865,1,2
5211,28000,I-10,2,2,1824,1,1
5212,55000,I-8,3,3,3267,1,2
5213,62000,G-11,3,3,3865,1,2
5214,65000,I-8,3,3,2722,1,1
5215,65000,I-8,3,3,3267,1,2
5216,16000,I-10,1,1,735,1,0
5217,28000,G-11,2,2,1197,1,0
5218,45000,G-10,2,2,2531,1,1
5220,40000,E-11,3,3,2178,1,1
5222,50000,G-9,2,2,1633,1,1
5223,95000,G-9,4,4,1633,1,1
5224,48000,G-9,2,2,1633,1,1
5225,33000,I-10,2,2,1824,1,1
5226,35000,G-8,2,2,1633,1,1
5227,25000,PWD Housing Scheme,3,2,2450,1,1
5230,33000,DHA Defence,2,2,2722,1,1
5231,45000,E-11,3,2,2178,1,1
5232,38000,G-11,2,3,1633,1,1
5240,40000,G-13,3,3,2722,1,1
5242,62000,G-11,3,3,3865,1,2
5243,25000,G-13,2,2,1089,1,0
5244,40000,G-13,3,3,1905,1,1
5245,45000,G-13,3,3,2722,1,1
5246,47000,G-13,3,3,3267,1,2
5248,25000,G-13,2,2,1089,1,0
5249,37000,G-13,3,3,1905,1,1
5250,43000,G-13,3,3,2722,1,1
5251,50000,G-13,3,3,3267,1,2
5252,34000,G-13,3,3,1905,1,1
5253,24000,G-13,2,2,1089,1,0
5254,38000,G-13,3,3,1905,1,1
5255,43000,G-13,3,3,2722,1,1
5256,52000,G-13,3,3,3267,1,2
5259,38000,G-11,2,2,2178,1,1
5261,35000,G-13,3,3,2178,1,1
5264,22000,I-10,1,2,1361,1,0
5265,23000,I-10,1,2,1089,1,0
5266,27500,I-10,2,2,1633,1,1
5267,60000,G-13,4,4,3811,1,2
5269,48000,G-13,3,3,3267,1,2
5272,63000,G-10,3,3,3865,1,2
5273,40000,Bahria Town,3,3,2722,1,1
