,Price,House_location,baths,beds,total_sqft,portion,garage
400,28000,Korang Town,4,4,3267,1,2
401,16000,FECHS,3,2,1905,1,1
402,18000,FECHS,2,2,1905,1,1
403,45000,G-13,4,4,2722,1,1
404,26000,G-13,2,2,1197,1,0
405,35000,I-9,2,3,1633,1,1
407,34000,G-10,2,2,2994,1,2
410,23000,G-13,2,2,1197,1,0
412,20000,G-13,2,2,1197,1,0
413,18000,Ghauri Town,2,2,1089,1,0
414,45000,G-13,4,4,3865,1,2
416,25000,G-14,2,2,1089,1,0
417,36000,G-10,3,2,1361,1,0
419,24000,G-13,2,2,1089,1,0
420,39000,Shehzad Town,2,2,2722,1,1
424,110000,E-11,3,3,3811,1,2
426,55000,G-11,3,3,3811,1,2
427,23000,PWD Housing Scheme,3,3,2722,1,1
428,28000,G-10,1,2,2722,1,1
429,80000,G-11,3,3,3539,1,2
430,80000,G-11,3,3,3539,1,2
431,80000,G-11,3,3,3539,1,2
432,38000,G-13,3,3,2722,1,1
437,13000,H-13,2,1,1361,1,0
438,13000,H-13,1,1,1361,1,0
439,75000,E-11,4,4,2722,1,1
441,28000,DHA Defence,4,3,2722,1,1
447,50000,G-13,4,3,2722,1,1
455,60000,I-8,3,3,3267,1,2
458,21000,other,3,3,1633,1,1
459,70000,I-8,3,3,3811,1,2
460,130000,other,3,3,816,1,0
461,48000,Margalla Town,3,4,3267,1,2
462,40000,D-12,4,3,3811,1,2
465,60000,G-11,3,3,3811,1,2
467,25000,I-14,2,2,2178,1,1
468,10000,Ghauri Town,2,2,1361,1,0
473,45000,G-13,3,3,2722,1,1
476,45000,G-13,3,3,2722,1,1
477,70000,E-11,4,4,3103,1,2
480,70000,Bahria Town,3,3,3811,1,2
481,12000,H-13,2,2,1089,1,0
482,30000,National Police Foundation O-9,3,2,3267,1,2
485,18000,G-13,1,2,3267,1,2
486,40000,G-9,2,2,1089,1,0
489,40000,G-13,4,3,2722,1,1
493,60000,I-8,3,3,3267,1,2
496,55000,G-11,2,3,3267,1,2
497,35000,G-15,4,4,2178,1,1
498,11000,Bhara kahu,3,3,1089,1,0
499,30000,FECHS,3,3,1905,1,1
500,18000,FECHS,3,2,1905,1,1
503,28000,other,3,4,1905,1,1
505,50000,I-8,2,2,2722,1,1
506,25000,other,1,2,1361,1,0
507,30000,I-10,3,3,1824,1,1
510,14000,other,3,2,1361,1,0
511,65000,G-13,4,3,3267,1,2
512,18000,Ghauri Town,2,2,1633,1,1
514,47000,I-8,2,2,2722,1,1
515,36000,G-9,2,2,3865,1,2
517,45000,E-11,3,3,2178,1,1
518,50000,I-8,3,3,3267,1,2
519,58000,I-8,3,3,3267,1,2
521,36000,G-13,2,2,2178,1,1
522,23000,G-13,2,2,1197,1,0
526,40000,FECHS,4,4,3811,1,2
527,36000,I-10,3,3,1633,1,1
530,50000,G-13,5,4,3811,1,2
536,15000,other,2,3,2722,1,1
537,50000,I-8,4,4,3267,1,2
539,45000,E-11,3,3,2722,1,1
544,23000,CBR Town,3,3,1905,1,1
545,20000,CBR Town,2,2,3267,1,2
549,28000,G-15,3,3,1905,1,1
550,50000,I-8,3,3,3267,1,2
551,45000,I-8,3,3,3267,1,2
552,25000,Bani Gala,1,2,1361,1,0
554,50000,I-8,3,3,3375,1,2
555,45000,other,4,4,2722,1,1
556,50000,I-8,3,3,3375,1,2
557,50000,I-8,2,3,3267,1,2
558,50000,I-8,3,2,3267,1,2
559,55000,I-8,4,3,3267,1,2
560,60000,I-8,3,3,3267,1,2
561,55000,I-8,3,3,2722,1,1
566,40000,E-11,4,3,2722,1,1
567,22000,G-8,1,2,1361,1,0
568,50000,G-13,4,3,3539,1,2
570,45000,G-13,4,3,2722,1,1
571,32000,I-10,2,3,1361,1,0
572,28000,I-10,2,3,1633,1,1
575,18000,PWD Housing Scheme,2,3,1361,1,0
579,30000,G-15,3,3,1905,1,1
580,30000,Naval Anchorage,3,3,3267,1,2
582,37000,Naval Anchorage,3,3,3811,1,2
583,38000,G-13,2,2,2722,1,1
584,25000,F-17,3,4,2994,1,2
585,65000,E-11,5,3,2722,1,1
586,50000,G-13,3,3,3539,1,2
587,47000,G-13,3,3,3267,1,2
588,14000,Ghauri Town,2,2,1361,1,0
591,75000,I-8,3,3,3811,1,2
592,15000,Ghauri Town,2,2,1361,1,0
593,15000,Ghauri Town,2,2,1361,1,0
594,70000,I-8,3,3,3811,1,2
595,12000,other,2,2,1361,1,0
596,10000,Ghauri Town,2,2,1361,1,0
