,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
207,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-14-marla-lower-portion-for-rent-476264,3,3,1,G-13 Islamabad,March 25 2022,65000,G-13 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
208,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-lower-portion-for-rent-313524,0,0,0,G-13 Islamabad,March 25 2022,45000,G-13 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
209,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-10-marla-lower-portion-for-rent-423359,3,3,1,G-13/4 Islamabad,March 25 2022,65000,G-13/4 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
210,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-4-1-kanal-house-for-rent-535407,7,7,2,F-7/4 Islamabad,April 4 2022,500000,F-7/4 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
211,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-soan-garden-1-kanal-upper-portion-for-rent-601001,3,3,1,Soan Garden Islamabad,April 1 2022,55000,Soan Garden ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
212,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-soan-garden-1-kanal-upper-portion-for-rent-601022,3,3,1,Soan Garden Islamabad,April 1 2022,55000,Soan Garden ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
213,7 Marla Basement for Rent,https://www.graana.com/property/islamabad-g-13-3-7-marla-basement-for-rent-482385,3,3,1,G-13/3 Islamabad,March 31 2022,40000,G-13/3 ,7 Marla Basement , Rent,7,Marla Basement ,Marla,Basement 
214,4 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-lower-portion-for-rent-483114,2,2,1,G-13/1 Islamabad,March 31 2022,30000,G-13/1 ,4 Marla Lower Portion , Rent,4,Marla Lower Portion ,Marla,Lower Portion 
215,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-house-for-rent-491073,4,5,1,G-13/2 Islamabad,March 31 2022,110000,G-13/2 ,7 Marla House , Rent,7,Marla House ,Marla,House 
216,4 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-house-for-rent-491069,3,4,1,G-13/1 Islamabad,March 31 2022,65000,G-13/1 ,4 Marla House , Rent,4,Marla House ,Marla,House 
217,666 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-2-666-sqyd-house-for-rent-600344,4,5,3,F-6/2 Islamabad,March 31 2022,600000,F-6/2 ,666 Sqyd House , Rent,666,Sqyd House ,Sqyd,House 
218,500 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-3-500-sqyd-upper-portion-for-rent-600173,2,2,2,F-6/3 Islamabad,March 31 2022,220000,F-6/3 ,500 Sqyd Upper Portion , Rent,500,Sqyd Upper Portion ,Sqyd,Upper Portion 
219,444 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-444-sqyd-upper-portion-for-rent-600133,3,3,1,F-6/1 Islamabad,March 31 2022,350000,F-6/1 ,444 Sqyd Upper Portion , Rent,444,Sqyd Upper Portion ,Sqyd,Upper Portion 
220,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-10-marla-lower-portion-for-rent-419522,3,3,1,G-13/4 Islamabad,March 25 2022,60000,G-13/4 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
221,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-10-marla-lower-portion-for-rent-294366,2,2,1,G-13/4 Islamabad,March 25 2022,50000,G-13/4 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
222,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-10-marla-lower-portion-for-rent-294447,3,3,1,G-13/3 Islamabad,March 25 2022,64999,G-13/3 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
223,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-14-marla-lower-portion-for-rent-322417,3,3,1,G-13/1 Islamabad,March 25 2022,60000,G-13/1 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
224,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-14-marla-lower-portion-for-rent-486999,6,6,1,G-13/3 Islamabad,March 25 2022,200000,G-13/3 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
225,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-12-marla-upper-portion-for-rent-413685,3,3,0,G-13/4 Islamabad,March 25 2022,55000,G-13/4 ,12 Marla Upper Portion , Rent,12,Marla Upper Portion ,Marla,Upper Portion 
226,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-10-marla-upper-portion-for-rent-483768,3,3,1,G-13/3 Islamabad,March 25 2022,65000,G-13/3 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
227,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-10-marla-upper-portion-for-rent-419523,3,4,1,G-13/4 Islamabad,March 25 2022,60000,G-13/4 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
228,4 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-4-marla-upper-portion-for-rent-294328,2,2,1,G-13/4 Islamabad,March 25 2022,48000,G-13/4 ,4 Marla Upper Portion , Rent,4,Marla Upper Portion ,Marla,Upper Portion 
229,4 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-4-marla-upper-portion-for-rent-294335,2,2,1,G-13/4 Islamabad,March 25 2022,50000,G-13/4 ,4 Marla Upper Portion , Rent,4,Marla Upper Portion ,Marla,Upper Portion 
230,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-14-marla-upper-portion-for-rent-294341,2,3,1,G-13/4 Islamabad,March 25 2022,80000,G-13/4 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
231,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-14-marla-upper-portion-for-rent-294453,4,4,1,G-13/3 Islamabad,March 25 2022,70000,G-13/3 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
232,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-14-marla-upper-portion-for-rent-487000,3,3,1,G-13/4 Islamabad,March 25 2022,65000,G-13/4 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
233,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-1-kanal-upper-portion-for-rent-294467,3,3,0,G-13/3 Islamabad,March 25 2022,80000,G-13/3 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
234,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-7-marla-upper-portion-for-rent-319513,2,2,0,G-13/1 Islamabad,March 25 2022,40000,G-13/1 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
235,4 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-marla-upper-portion-for-rent-314298,1,2,1,G-13 Islamabad,March 25 2022,26000,G-13 ,4 Marla Upper Portion , Rent,4,Marla Upper Portion ,Marla,Upper Portion 
236,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-14-marla-upper-portion-for-rent-319561,3,3,1,G-13/1 Islamabad,March 25 2022,60000,G-13/1 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
237,12 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-2-12-marla-house-for-rent-456923,6,6,2,G-13/2 Islamabad,March 25 2022,150000,G-13/2 ,12 Marla House , Rent,12,Marla House ,Marla,House 
238,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-house-for-rent-313503,4,4,1,G-13 Islamabad,March 25 2022,90000,G-13 ,7 Marla House , Rent,7,Marla House ,Marla,House 
239,5 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-5-marla-house-for-rent-412818,5,5,1,G-13/1 Islamabad,March 25 2022,60000,G-13/1 ,5 Marla House , Rent,5,Marla House ,Marla,House 
240,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-3-500-sqyd-house-for-rent-600160,4,4,2,F-6/3 Islamabad,March 31 2022,500000,F-6/3 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
241,444 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-1-444-sqyd-house-for-rent-600123,4,4,2,F-6/1 Islamabad,March 31 2022,450000,F-6/1 ,444 Sqyd House , Rent,444,Sqyd House ,Sqyd,House 
242,400 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-1-400-sqyd-house-for-rent-600114,4,4,2,F-6/1 Islamabad,March 31 2022,400000,F-6/1 ,400 Sqyd House , Rent,400,Sqyd House ,Sqyd,House 
243,1200 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-2-1200-sqyd-house-for-rent-600141,5,5,2,F-6/2 Islamabad,March 31 2022,700000,F-6/2 ,1200 Sqyd House , Rent,1200,Sqyd House ,Sqyd,House 
244,1100 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-4-1100-sqyd-house-for-rent-600182,4,4,2,F-6/4 Islamabad,March 31 2022,700000,F-6/4 ,1100 Sqyd House , Rent,1100,Sqyd House ,Sqyd,House 
245,2000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-4-2000-sqyd-house-for-rent-600287,6,6,2,F-8/4 Islamabad,March 31 2022,1050000,F-8/4 ,2000 Sqyd House , Rent,2000,Sqyd House ,Sqyd,House 
246,600 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-2-600-sqyd-house-for-rent-600152,6,6,2,F-6/2 Islamabad,March 31 2022,500000,F-6/2 ,600 Sqyd House , Rent,600,Sqyd House ,Sqyd,House 
247,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-4-1-kanal-house-for-rent-600293,6,6,2,F-8/4 Islamabad,March 31 2022,700000,F-8/4 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
248,1.3 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-1-26-marla-house-for-rent-600299,4,4,2,F-8/1 Islamabad,March 31 2022,430000,F-8/1 ,1.3 Kanal House , Rent,1.3,Kanal House ,Kanal,House 
249,12 Marla House for Rent,https://www.graana.com/property/islamabad-f-8-3-12-marla-house-for-rent-600297,3,3,1,F-8/3 Islamabad,March 31 2022,200000,F-8/3 ,12 Marla House , Rent,12,Marla House ,Marla,House 
250,14 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-14-marla-house-for-rent-485446,3,3,1,G-13 Islamabad,March 25 2022,45000,G-13 ,14 Marla House , Rent,14,Marla House ,Marla,House 
251,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-house-for-rent-485440,3,3,1,G-13 Islamabad,March 25 2022,65000,G-13 ,10 Marla House , Rent,10,Marla House ,Marla,House 
252,4 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-4-marla-house-for-rent-485433,3,4,1,G-13 Islamabad,March 25 2022,65000,G-13 ,4 Marla House , Rent,4,Marla House ,Marla,House 
253,4 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-house-for-rent-485982,3,4,1,G-13/1 Islamabad,March 25 2022,65000,G-13/1 ,4 Marla House , Rent,4,Marla House ,Marla,House 
254,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-house-for-rent-485452,3,3,1,G-13 Islamabad,March 25 2022,55000,G-13 ,10 Marla House , Rent,10,Marla House ,Marla,House 
255,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-3-10-marla-house-for-rent-294439,7,10,0,G-13/3 Islamabad,March 25 2022,150000,G-13/3 ,10 Marla House , Rent,10,Marla House ,Marla,House 
256,4 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-house-for-rent-319553,3,3,1,G-13/1 Islamabad,March 25 2022,55000,G-13/1 ,4 Marla House , Rent,4,Marla House ,Marla,House 
257,4 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-house-for-rent-319560,5,5,1,G-13/1 Islamabad,March 25 2022,50000,G-13/1 ,4 Marla House , Rent,4,Marla House ,Marla,House 
258,1330 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-1330-marla-apartment-for-rent-591153,2,2,30,Bahria Town Phase 4 Islamabad,March 25 2022,85000,Bahria Town Phase 4 ,1330 Sqft Apartment , Rent,1330,Sqft Apartment ,Sqft,Apartment 
259,730 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-730-marla-apartment-for-rent-591037,1,1,20,Bahria Town Phase 4 Islamabad,March 25 2022,50000,Bahria Town Phase 4 ,730 Sqft Apartment , Rent,730,Sqft Apartment ,Sqft,Apartment 
260,12 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-1-12-marla-house-for-rent-591292,6,5,3,Bahria Town Phase 1 Islamabad,March 25 2022,120000,Bahria Town Phase 1 ,12 Marla House , Rent,12,Marla House ,Marla,House 
261,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-592722,3,3,1,DHA Phase 2 Islamabad,March 24 2022,110000,DHA Phase 2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
262,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-592733,5,5,2,DHA Phase 2 Islamabad,March 24 2022,215000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
263,12 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-12-marla-house-for-rent-592295,6,6,1,G-13 Islamabad,March 24 2022,330000,G-13 ,12 Marla House , Rent,12,Marla House ,Marla,House 
264,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-1-kanal-house-for-rent-590663,5,5,2,F-8 Islamabad,March 24 2022,400000,F-8 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
265,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-i-8-4-12-marla-upper-portion-for-rent-593077,3,3,1,I-8/4  Islamabad,March 24 2022,100000,I-8/4  ,12 Marla Upper Portion , Rent,12,Marla Upper Portion ,Marla,Upper Portion 
266,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-i-8-2-12-marla-upper-portion-for-rent-593048,3,3,1,I-8/2 Islamabad,March 24 2022,120000,I-8/2 ,12 Marla Upper Portion , Rent,12,Marla Upper Portion ,Marla,Upper Portion 
267,12 Marla Basement for Rent,https://www.graana.com/property/islamabad-i-8-2-12-marla-basement-for-rent-593102,3,3,1,I-8/2 Islamabad,March 24 2022,70000,I-8/2 ,12 Marla Basement , Rent,12,Marla Basement ,Marla,Basement 
268,1120 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-gulberg-greens-1120-sqft-apartment-for-rent-593399,3,3,0,Gulberg Greens Islamabad,March 24 2022,70000,Gulberg Greens ,1120 Sqft Apartment , Rent,1120,Sqft Apartment ,Sqft,Apartment 
269,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-1-kanal-lower-portion-for-rent-592442,3,3,1,E-11 Islamabad,March 24 2022,90000,E-11 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
270,533 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-7-3-533-sqyd-upper-portion-for-rent-599249,2,2,1,F-7/3 Islamabad,March 30 2022,180000,F-7/3 ,533 Sqyd Upper Portion , Rent,533,Sqyd Upper Portion ,Sqyd,Upper Portion 
271,16 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-8-3-16-marla-upper-portion-for-rent-598862,3,3,1,F-8/3 Islamabad,March 30 2022,250000,F-8/3 ,16 Marla Upper Portion , Rent,16,Marla Upper Portion ,Marla,Upper Portion 
272,16 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-8-3-16-marla-upper-portion-for-rent-598879,4,4,1,F-8/3 Islamabad,March 30 2022,250000,F-8/3 ,16 Marla Upper Portion , Rent,16,Marla Upper Portion ,Marla,Upper Portion 
273,511 Sqyd Lower Portion for Rent,https://www.graana.com/property/islamabad-f-7-1-511-sqyd-lower-portion-for-rent-599213,2,2,1,F-7/1 Islamabad,March 30 2022,220000,F-7/1 ,511 Sqyd Lower Portion , Rent,511,Sqyd Lower Portion ,Sqyd,Lower Portion 
274,1.2 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-f-8-1-1.2-kanal-lower-portion-for-rent-598893,4,4,1,F-8/1 Islamabad,March 30 2022,250000,F-8/1 ,1.2 Kanal Lower Portion , Rent,1.2,Kanal Lower Portion ,Kanal,Lower Portion 
275,666 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-7-1-666-sqyd-upper-portion-for-rent-599220,2,2,2,F-7/1 Islamabad,March 30 2022,150000,F-7/1 ,666 Sqyd Upper Portion , Rent,666,Sqyd Upper Portion ,Sqyd,Upper Portion 
276,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-1-500-sqyd-house-for-rent-599273,5,5,2,F-7/1 Islamabad,March 30 2022,450000,F-7/1 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
277,1.3 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-1-1.3-kanal-house-for-rent-599192,8,8,2,F-7/1 Islamabad,March 30 2022,1200000,F-7/1 ,1.3 Kanal House , Rent,1.3,Kanal House ,Kanal,House 
278,550 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-2-550-sqyd-house-for-rent-599263,5,5,2,F-7/2 Islamabad,March 30 2022,600000,F-7/2 ,550 Sqyd House , Rent,550,Sqyd House ,Sqyd,House 
279,1.3 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-4-1.3-kanal-house-for-rent-599171,8,8,2,F-7/4 Islamabad,March 30 2022,1600000,F-7/4 ,1.3 Kanal House , Rent,1.3,Kanal House ,Kanal,House 
280,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-1-kanal-lower-portion-for-rent-592443,3,3,1,E-11 Islamabad,March 24 2022,120000,E-11 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
281,1250 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1250-sqft-apartment-for-rent-592446,2,2,1,E-11 Islamabad,March 24 2022,40000,E-11 ,1250 Sqft Apartment , Rent,1250,Sqft Apartment ,Sqft,Apartment 
282,9 Marla Apartment for Rent,https://www.graana.com/property/islamabad-chak-shahzad-9-marla-apartment-for-rent-592621,1,1,1,Chak Shahzad Islamabad,March 24 2022,14000,Chak Shahzad ,9 Marla Apartment , Rent,9,Marla Apartment ,Marla,Apartment 
283,1900 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1900-sqft-apartment-for-rent-592640,3,3,1,E-11 Islamabad,March 24 2022,85000,E-11 ,1900 Sqft Apartment , Rent,1900,Sqft Apartment ,Sqft,Apartment 
284,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1400-sqft-apartment-for-rent-592642,3,3,1,E-11 Islamabad,March 24 2022,100000,E-11 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
285,700 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-700-sqft-apartment-for-rent-592643,1,1,1,E-11 Islamabad,March 24 2022,45000,E-11 ,700 Sqft Apartment , Rent,700,Sqft Apartment ,Sqft,Apartment 
286,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1400-sqft-apartment-for-rent-592645,3,3,0,E-11 Islamabad,March 24 2022,95000,E-11 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
287,1100 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1100-sqft-apartment-for-rent-591635,2,2,1,E-11 Islamabad,March 24 2022,120000,E-11 ,1100 Sqft Apartment , Rent,1100,Sqft Apartment ,Sqft,Apartment 
288,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-14-1-kanal-upper-portion-for-rent-593381,4,3,0,G-14 Islamabad,March 24 2022,95000,G-14 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
289,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-g-14-1-kanal-basement-for-rent-593392,3,3,0,G-14 Islamabad,March 24 2022,85000,G-14 ,1 Kanal Basement , Rent,1,Kanal Basement ,Kanal,Basement 
290,400 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-1-400-sqyd-house-for-rent-550710,4,4,1,F-6/1 Islamabad,March 24 2022,400000,F-6/1 ,400 Sqyd House , Rent,400,Sqyd House ,Sqyd,House 
291,1066 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-2-1066-sqyd-house-for-rent-575399,7,7,3,F-7/2 Islamabad,March 24 2022,1200000,F-7/2 ,1066 Sqyd House , Rent,1066,Sqyd House ,Sqyd,House 
292,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-578901,5,5,2,DHA Phase 2 Islamabad,March 24 2022,190000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
293,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-578893,3,3,1,DHA Phase 2 Islamabad,March 24 2022,100000,DHA Phase 2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
294,1600 Sq. Yd. House for Rent,https://www.graana.com/property/islamabad-f-8-2-1600-sqyd-house-for-rent-534397,9,9,2,F-8/2 Islamabad,March 24 2022,2800000,F-8/2 ,1600 Sq. Yd. House , Rent,1600,Sq. Yd. House ,Sq.,Yd. House 
295,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-cbr-town-block-c-18-marla-upper-portion-for-rent-592432,3,3,0,CBR Town Block C Islamabad,March 24 2022,55000,CBR Town Block C ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
296,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-10-12-marla-upper-portion-for-rent-591313,3,3,1,G-10 Islamabad,March 22 2022,85000,G-10 ,12 Marla Upper Portion , Rent,12,Marla Upper Portion ,Marla,Upper Portion 
297,8 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-margalla-town-8-marla-upper-portion-for-rent-591488,3,3,1,Margalla Town Islamabad,March 22 2022,50000,Margalla Town ,8 Marla Upper Portion , Rent,8,Marla Upper Portion ,Marla,Upper Portion 
298,10 Marla Basement for Rent,https://www.graana.com/property/islamabad-e-11-1-10-marla-basement-for-rent-591499,2,2,1,E-11/1 Islamabad,March 22 2022,80000,E-11/1 ,10 Marla Basement , Rent,10,Marla Basement ,Marla,Basement 
299,6 Marla House for Rent,https://www.graana.com/property/islamabad-soan-garden-block-h-6-marla-house-for-rent-591440,2,2,1,Soan Garden Block H Islamabad,March 22 2022,32000,Soan Garden Block H ,6 Marla House , Rent,6,Marla House ,Marla,House 
300,511 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-3-511-sqyd-house-for-rent-599280,4,4,2,F-7/3 Islamabad,March 30 2022,630000,F-7/3 ,511 Sqyd House , Rent,511,Sqyd House ,Sqyd,House 
301,1100 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-1-1100-sqyd-house-for-rent-599269,8,8,2,F-7/1 Islamabad,March 30 2022,800000,F-7/1 ,1100 Sqyd House , Rent,1100,Sqyd House ,Sqyd,House 
302,1.3 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-4-1.3-kanal-house-for-rent-599171,8,8,2,F-7/4 Islamabad,March 30 2022,1600000,F-7/4 ,1.3 Kanal House , Rent,1.3,Kanal House ,Kanal,House 
303,550 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-2-550-sqyd-house-for-rent-599263,5,5,2,F-7/2 Islamabad,March 30 2022,600000,F-7/2 ,550 Sqyd House , Rent,550,Sqyd House ,Sqyd,House 
304,600 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-3-600-sqyd-house-for-rent-599278,5,5,3,F-7/3 Islamabad,March 30 2022,800000,F-7/3 ,600 Sqyd House , Rent,600,Sqyd House ,Sqyd,House 
305,666 Sq. Yd. House for Rent,https://www.graana.com/property/islamabad-f-7-4-666-sqyd-house-for-rent-599224,5,5,2,F-7/4 Islamabad,March 30 2022,500000,F-7/4 ,666 Sq. Yd. House , Rent,666,Sq. Yd. House ,Sq.,Yd. House 
306,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-3-1-kanal-house-for-rent-598869,4,4,3,F-8/3 Islamabad,March 30 2022,350000,F-8/3 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
307,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-4-1-kanal-house-for-rent-598897,6,6,0,F-7/4 Islamabad,March 30 2022,500000,F-7/4 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
308,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-8-4-1-kanal-upper-portion-for-rent-599312,3,3,1,F-8/4 Islamabad,March 30 2022,350000,F-8/4 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
309,2 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-4-2-kanal-house-for-rent-599315,5,5,3,F-7/4 Islamabad,March 30 2022,650000,F-7/4 ,2 Kanal House , Rent,2,Kanal House ,Kanal,House 
310,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-korang-town-7-marla-lower-portion-for-rent-591433,2,2,0,Korang Town Islamabad,March 22 2022,30000,Korang Town ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
311,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-media-town-12-marla-upper-portion-for-rent-591483,3,3,1,Media Town Islamabad,March 22 2022,50000,Media Town ,12 Marla Upper Portion , Rent,12,Marla Upper Portion ,Marla,Upper Portion 
312,666 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-4-666-sqyd-house-for-rent-592043,5,5,2,F-8/4 Islamabad,March 22 2022,900000,F-8/4 ,666 Sqyd House , Rent,666,Sqyd House ,Sqyd,House 
313,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-14-10-marla-upper-portion-for-rent-592171,3,3,1,G-14 Islamabad,March 22 2022,70000,G-14 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
314,1.2 Kanal Basement for Rent,https://www.graana.com/property/islamabad-g-14-1.2-kanal-basement-for-rent-592173,4,4,1,G-14 Islamabad,March 22 2022,90000,G-14 ,1.2 Kanal Basement , Rent,1.2,Kanal Basement ,Kanal,Basement 
